YEAR,STATE,WRITTEN_SIGNED_COMPLAINTS_WSC_TOTAL,WSC_WITH_REPORTS_ISSUED_TOTAL,WSC_REPORTS_WITH_FINDINGS,WSC_REPORTS_WITHIN_TIMELINE,WSC_REPORTS_WITHIN_EXTENDED_TIMELINES,WSC_WITHDRAWN_OR_DISMISSED,WSC_PENDING_TOTAL,WSC_PENDING_A_DUE_PROCESS_HEARING,MEDIATION_REQUESTS_TOTAL,MEDIATIONS_HELD_TOTAL,MEDIATIONS_HELD_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATION_AGREEMENTS_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATIONS_HELD_NOT_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATION_AGREEMENTS_NOT_RELATED_TO_DUE_PROCESS_COMPLAINTS,MEDIATIONS_PENDING,DUE_PROCESS_COMPLAINTS_DPC_TOTAL,DPC_RESOLUTION_MEETINGS_TOTAL,DPC_RESOLUTION_MEETINGS_WRITTEN_SETTLEMENT_AGREEMENTS,DPC_HEARINGS_FULLY_ADJUDICATED_TOTAL,DPC_WRITTEN_DECISIONS_WITHIN_TIMELINE,DPC_WRITTEN_DECISIONS_WITHIN_EXTENDED_TIMELINES,DPC_WITHDRAWN_OR_DISMISSED,EXPEDITED_DUE_PROCESS_COMPLAINTS_EDPC_TOTAL,EDPC_RESULTED_IN_A_RESOLUTION_MEETING_TOTAL,EDPC_RESOLUTION_MEETINGS_WRITTEN_SETTLEMENT_AGREEMENTS,EDPC_EXPEDITED_HEARINGS_FULLY_ADJUDICATED_TOTAL,EDPC_EXPEDITED_HEARINGS_CHANGE_OF_PLACEMENT_ORDERED,MEDIATIONS_WITHDRAWN_OR_NOT_HELD,DPC_PENDING,EDPC_PENDING,EDPC_WITHDRAWN_OR_DISMISSED
2006,Alabama,34,33,22,32,1,1,0,0,81,47,6,5,41,32,34,86,62,11,4,0,4,71,0,0,0,0,0,,,,
2006,Alaska,11,11,5,9,2,0,0,0,6,6,3,2,3,3,0,25,11,6,4,0,4,10,0,0,0,0,0,,,,
2006,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2006,Arizona,162,112,72,103,9,40,10,0,37,23,11,7,12,10,14,58,22,16,2,1,1,16,3,1,1,0,0,,,,
2006,Arkansas,41,27,25,27,0,14,0,0,17,15,0,0,15,12,2,8,2,2,2,2,0,6,1,1,1,0,0,,,,
2006,BIE schools,5,5,5,5,0,0,0,0,8,6,2,2,4,4,2,1,1,1,0,0,0,0,0,0,0,0,0,,,,
2006,California,"1,117",914,508,791,58,203,0,0,"2,747","1,624","1,393",570,231,122,"1,123",2516,818,478,74,14,60,"1,735",45,34,23,2,1,,,,
2006,Colorado,21,14,10,8,5,6,1,1,32,23,7,5,16,13,9,24,14,6,2,0,2,20,2,2,2,0,0,,,,
2006,Connecticut,140,103,65,97,5,35,2,1,231,198,70,35,128,83,33,198,23,15,17,7,10,169,0,0,0,0,0,,,,
2006,Delaware,13,12,12,10,2,1,0,0,22,22,10,7,12,12,0,25,0,0,4,0,4,21,0,0,0,0,0,,,,
2006,District of Columbia,20,16,8,12,4,4,0,0,21,6,5,0,1,1,15,2824,"1,114",101,"1,893",974,123,796,59,23,0,59,21,,,,
2006,Florida,97,56,25,48,8,33,8,2,186,91,39,25,52,40,95,189,117,61,10,5,5,136,6,1,0,2,0,,,,
2006,Georgia,40,33,21,25,8,5,2,0,99,64,18,11,46,25,35,111,71,34,6,1,5,95,2,2,2,0,0,,,,
2006,Guam,6,5,4,5,0,1,0,0,2,2,0,0,2,2,0,3,2,1,0,0,0,2,0,0,0,0,0,,,,
2006,Hawaii,23,23,23,23,0,0,0,0,6,5,0,0,5,3,1,140,128,8,28,2,26,55,1,1,1,0,0,,,,
2006,Idaho,11,9,7,8,0,2,0,0,3,1,0,0,1,1,2,11,10,8,1,0,1,10,0,0,0,0,0,,,,
2006,Illinois,116,63,44,42,15,43,10,0,191,164,98,76,66,54,27,366,60,30,29,3,24,301,6,1,1,0,0,,,,
2006,Indiana,118,104,89,95,8,14,0,0,42,39,11,7,28,25,3,88,52,49,13,0,13,64,17,15,13,1,1,,,,
2006,Iowa,5,1,0,1,0,4,0,0,24,10,0,0,10,9,14,4,2,1,1,0,1,3,0,0,0,0,0,,,,
2006,Kansas,34,23,12,21,2,11,0,0,42,38,12,10,26,21,4,39,8,6,1,0,1,29,3,3,0,0,0,,,,
2006,Kentucky,45,26,12,21,5,19,0,0,19,16,6,4,10,8,3,25,16,12,3,0,1,10,0,0,0,0,0,,,,
2006,Louisiana,12,6,3,6,0,4,2,1,14,9,5,4,4,3,5,17,8,6,2,1,1,15,2,1,1,0,0,,,,
2006,Maine,59,15,9,3,12,44,0,0,122,52,9,7,43,37,70,37,2,1,6,0,6,30,6,0,0,0,0,,,,
2006,Maryland,108,92,71,89,2,16,0,0,330,172,100,65,72,52,158,319,95,68,22,11,11,284,2,0,0,1,1,,,,
2006,Massachusetts,383,236,170,179,36,107,40,21,841,841,36,27,805,677,0,592,400,25,26,3,22,566,31,24,1,2,1,,,,
2006,Michigan,280,243,154,196,47,28,9,8,86,60,3,2,57,46,26,77,64,29,6,0,5,52,15,15,9,1,0,,,,
2006,Minnesota,121,66,66,50,15,54,1,0,65,42,4,2,38,32,23,34,19,1,3,0,2,20,2,1,0,0,0,,,,
2006,Mississippi,17,12,12,12,0,5,0,0,25,21,7,5,14,11,4,28,3,3,1,1,0,27,0,0,0,0,0,,,,
2006,Missouri,99,81,38,75,6,17,1,0,27,27,6,6,21,9,0,70,52,24,3,2,1,47,10,5,4,2,0,,,,
2006,Montana,1,0,0,0,0,1,0,0,3,3,3,2,0,0,0,4,1,1,0,0,0,3,0,0,0,0,0,,,,
2006,Nebraska,5,2,1,1,1,3,0,0,11,6,1,0,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,,,,
2006,Nevada,28,19,17,17,2,6,3,0,15,9,1,1,8,8,6,40,30,20,2,0,2,35,2,2,2,0,0,,,,
2006,New Hampshire,69,38,27,8,30,14,17,5,35,33,15,0,18,17,2,62,49,19,32,19,13,19,0,0,0,0,0,,,,
2006,New Jersey,295,157,53,119,12,124,14,13,610,531,310,101,221,102,79,861,82,42,55,30,24,805,18,1,1,2,1,,,,
2006,New Mexico,36,21,16,15,1,13,2,1,19,19,12,7,7,5,0,20,4,2,9,0,9,8,0,0,0,0,0,,,,
2006,New York,210,198,169,162,2,10,2,0,436,278,23,15,255,237,158,5990,"5,664",587,810,175,470,"4,846",29,0,0,16,6,,,,
2006,North Carolina,70,48,33,42,2,22,0,0,110,59,7,4,52,45,51,48,28,21,2,0,2,40,3,3,2,0,0,,,,
2006,North Dakota,3,3,3,3,0,0,0,0,3,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2006,Northern Marianas,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2006,Ohio,166,97,54,72,18,67,2,2,131,131,50,22,81,68,0,206,77,55,13,1,12,116,18,17,16,1,0,,,,
