,school_against_cleaned,id
0,NAN,1
1,PROSPECT LC,2
5,HEIGHTS EDUCATION CENTER HIGH SCHOOL,6
7,JOHNSON MIDDLE SCHOOL,8
9,EASTERN HIGH SCHOOL,10
10,EASTE RN HIGH SCHOOL,11
11,DUNBAR HIGH SCHOOL,12
14,ROOSEVELT HIGH SCHOOL,15
18,HEND LEY ELEMENTARY SCHOOL,19
20,HENDLEY ELEMENTARY SCHOOL,21
21,MONROE SCHOOL,22
23,SPINGARN SENIOR HIGH SCHOOL,24
26,OTHER,27
28,SEATON ELEMENTARY SCHOOL,29
32,GARRISON ELEMENTARY SCHOOL,33
33,GARRI SON ELEMENTARY SCHOOL,34
35,DEAL MIDDLE SCHOOL,36
38,ACCOTINK ACADEMY,39
40,ACCOT I N K ACADEMY,41
48,MACFARLAND MIDDLE SCHOOL,49
49,MACFAR LAND MIDDLE SCHOOL,50
61,BENJAMIN BANNEKER ACADEMIC HIGH SCHOOL,62
65,BENJAM IN BANNEKER ACADEM IC HIGH SCHOOL,66
67,BENJAMIN BANNEKER ACADEM IC HIGH SCHOOL,68
68,SOUSA MIDDLE SCHOOL,69
71,HIGH ROAD DC A-M,72
72,SIMON ELEMENTARY SCHOOL,73
75,SIMON EIE ME N TA RY SCHOOL,76
77,ACCOT INK ACADEMY,78
81,KELLY MI LLER MIDDLE SCHOOL,82
83,KELLY M ILLER MIDDLE SCHOOL,84
85,BALLOU SENIOR HIGH SCHOOL,86
87,WOODSON ACADEMY@,88
88,WOODSON ACADEMY @ RON BROWN,89
108,BEL L MU LT ICULT URAL SENIOR HIGH SCHOOL,109
114,LANGLEY ELEMENTARY CAMPUS,115
120,GARR ISON ELEMENTARY SCHOOL,121
125,HAM ILTON CENTE R,126
126,HAMILTON CENTER,127
129,MO NROE SCHOOL,130
130,JEFF ERSON MIDDLE SCHOOL,131
131,JEFFERSON MIDDLE SCHOOL,132
133,THOMAS ELEMENTARY SCHOOL,134
138,FRANCIS-STEVENS EDUCATION CENTER,139
142,FRANC IS-STEVENS EDUCATION CENTER,143
151,WALKER-JONES/TURNER,152
152,WALKER-JONES/TU RNER ELEMENTARY CAMPUS,153
156,KRAMER MIDDLE SCHOOL,157
157,KRAME R MIDDLE SCHOOL,158
162,BRIGHTWOOD ELEMENTARY CAMPUS,163
163,BRIGH TW OOD ELEMENTARY CAMPUS,164
166,BRIGHTW OOD ELEMENTARY CAMPUS,167
167,KETCHAM ELEMENTARY SCHOOL,168
171,WOODSON ACADEMY @ RON BROW N,172
183,HART MIDDLE SCHOOL,184
189,LAB SCHOOL OF WASHINGTON,190
194,HART M I DD IE  SCHOOL,195
196,SHAW MS@ GARNET-PATTERSON,197
197,SHAW MS@ GARNET -PATTERSON,198
198,SHAW MS@ GARNET-PATTE RSON,199
199,SHAW MS@ GARNET -PATT ERSON,200
206,HYDE ELEMENTARY SCHOOL,207
209,ANACOST IA SENIOR HIGH SCHOOL,210
210,ANACOSTLA SENIOR HIGH SCHOOL,211
211,ANACOSTIA SENIOR HIGH SCHOOL,212
212,RIVER TERRACE ELEMENTARY SCHOOL,213
225,KELLY MI IIER MIDDLE SCHOOL,226
229,"WI LLIAM E. DOAR, JR. PCSF OR THE PERFO RM ING ARTS",230
231,"WILL IAM E. DOAR, JR. PCSF OR THE PERFOR MING ARTS",232
235,WILSON SENIOR HIGH SCHOOL,236
241,WI LSON SENIOR HIGH SCHOOL,242
244,ACADEMY FO R IDEAL EDUCATION,245
246,ACADEMY FO R IDEA L EDUCATION,247
248,ACADEMY FOR IDEA L EDUCATION,249
249,ACADEMY FOR IDEAL EDUCATION,250
251,CARDOZO HIGH SCHOOL,252
254,MARSHA LL EDUCATIONA L CENTER,255
255,MARSHA LL EDUCATIONAL CENTER,256
258,LUDLOW-TAYLOR ELEMENTARY SCHOOL,259
259,LUDLOW -TAYLOR ELEMENTARY SCHOOL,260
260,LUDLOW-TAY LOR ELEMENTARY SCHOOL,261
263,LANGDON ELEMENTARY SCHOOL,264
268,BURRVIL LE ELEMENTARY SCHOOL,269
272,JEFF ERSON M S,273
277,W INSTON ELEMENTARY CAMPUS,278
279,WINSTON ELEMENTARY CAMPUS,280
285,WA LKER-JONES/TU RNER ELEMENTARY CAMPUS,286
286,WA LKER-JONES/T URNER ELEMENTARY CAMPUS,287
287,WALKER-JONES/TUR NER ELEMENTARY CAMPUS,288
289,COLUMB IA HEIGHTS EDUCATION CENTER HIGH SCHOOL,290
290,COLUMB IA HEIGHT S EDUCATION CENTER HIGH SCHOOL,291
292,COLUMB IA HEIGH TS EDUCATION CENTER HIGH SCHOOL,293
295,JOHN BURROUGHS ELEMENTARY CAMPUS,296
296,JOHN BURRO UGHS ELEMENTARY CAMPUS,297
310,ANACOST IA SEN IOR HIGH SCHOOL,311
314,LUD LOW-TAYLOR ELEMENTARY SCHOOL,315
319,LUDLOW-TAYLO R ELEMENTARY SCHOOL,320
322,ANACO ST IA SENIOR HIGH SCHOOL,323
340,NOYES ELEMENTARY SCHOOL,341
342,MOTEN ELEMENTARY SCHOOL @ WILKINSON,343
348,FOUNDAT ION SCHOOL OF P.G. COUNTY,349
349,FOUNDAT ION SCHOOL OF P.G.C,350
352,FOUNDATION SCHOOL OF P.G. COUNTY,353
353,AM IDON ELEMENTARY SCHOOL,354
361,BROWNE ELEMENTARY CAMPUS,362
367,JEFFE RSON MIDDLE SCHOOL,368
375,BALLOU STAY,376
382,TAKOMA EDUCATIONAL CENTER,383
391,LASALLE-BACKUS ELEMENTARY CAMPUS,392
396,VILLAGE ACADE MY,397
401,DUNBA R HIGH SCHOOL,402
408,WI LSON SENIO R HIGH SCHOOL,409
411,ROOSEVE LT HIGH SCHOOL,412
417,KETCHA M ELEMENTARY SCHOOL,418
422,KELLY M ILLER M S,423
427,BRUCE MO NROE ES@  PARK VIEW,428
428,BRUCE MO NROE ES@ PARK VIEW,429
429,BRUCE MONROE ES@ PARK VIEW,430
435,REED LC,436
443,RONALD H. BROWN MIDDLE SCHOOL,444
445,SPINGARN STAY SHIGH SCHOOL,446
450,SHAW MS@ GARNE T -PATTERSON,451
452,SHAW MS@ GARNE T -PATT ERSON,453
453,TURNE R @ GREEN ELEMENTARY SCHOOL,454
456,WOODSON ACADEMY@ RON BROWN,457
458,WOOD SON ACADEM Y @ RON BROWN,459
476,OYSTE R ADAMS BILINGUA L,477
477,OYSTER ADAMS BILINGUA L,478
478,OYSTER ADAMS BILINGUAL,479
492,CLEVELAND ELEMENTARY SCHOOL,493
515,TY LER ELEMENTARY SCHOOL,516
517,TYLER ELEMENTARY SCHOOL,518
524,SHARPE HEALTH SCHOOL,525
531,NA LIE ELEMENTARY SCHOOL,532
555,CHILDRENS GUILD - BALT IMOR E,556
556,CHILDRENS GUIL D - BALT IMORE,557
557,CHILDRENS GUIL D - BALTIMORE,558
559,FOUNDA T ION SCHOOL OF P.G. COUNTY,560
564,SPINGARN SENIO R HIGH SCHOOL,565
579,HARDY M S @ HAMILTON SCHOOL,580
580,HARDY MS@ HAMI LTON SCHOOL,581
581,HARDY MS@ HAMILTON SCHOOL,582
582,HARDY MS@ HAMIL T ON SCHOOL,583
584,HARDY M S @ HAMI LT ON SCHOOL,585
585,HARDY MS@ HAMI LT ON SCHOOL,586
