YEAR,STATE,AGE_3_21_TOTAL
2005,ALABAMA,92635
2005,ALASKA,17997
2005,ARIZONA,124504
2005,ARKANSAS,67314
2005,CALIFORNIA,676318
2005,COLORADO,83498
2005,CONNECTICUT,71968
2005,DELAWARE,18857
2005,DISTRICT OF COLUMBIA,11738
2005,FLORIDA,398916
2005,GEORGIA,197596
2005,HAWAII,21963
2005,IDAHO,29021
2005,ILLINOIS,323444
2005,INDIANA,177826
2005,IOWA,72457
2005,KANSAS,65595
2005,KENTUCKY,108798
2005,LOUISIANA,90453
2005,MAINE,36522
2005,MARYLAND,110959
2005,MASSACHUSETTS,162654
2005,MICHIGAN,243607
2005,MINNESOTA,116511
2005,MISSISSIPPI,68099
2005,MISSOURI,143204
2005,MONTANA,19259
2005,NEBRASKA,45239
2005,NEVADA,47794
2005,NEW HAMPSHIRE,31782
2005,NEW JERSEY,249385
2005,NEW MEXICO,50322
2005,NEW YORK,447422
2005,NORTH CAROLINA,192820
2005,NORTH DAKOTA,13883
2005,OHIO,266447
2005,OKLAHOMA,96601
2005,OREGON,77376
2005,PENNSYLVANIA,288733
2005,RHODE ISLAND,30681
2005,SOUTH CAROLINA,110219
2005,SOUTH DAKOTA,17631
2005,TENNESSEE,120122
2005,TEXAS,507405
2005,UTAH,60526
2005,VERMONT,13917
2005,VIRGINIA,174640
2005,WASHINGTON,124498
2005,WEST VIRGINIA,49677
2005,WISCONSIN,130076
2005,WYOMING,13696
2006,ALABAMA,89013
2006,ALASKA,17760
2006,ARIZONA,126654
2006,ARKANSAS,68133
2006,CALIFORNIA,672737
2006,COLORADO,83559
2006,CONNECTICUT,69127
2006,DELAWARE,19366
2006,DISTRICT OF COLUMBIA,11113
2006,FLORIDA,398289
2006,GEORGIA,196810
2006,HAWAII,21099
2006,IDAHO,28439
2006,ILLINOIS,326763
2006,INDIANA,179043
2006,IOWA,71394
2006,KANSAS,65831
2006,KENTUCKY,109354
2006,LOUISIANA,89422
2006,MAINE,35564
2006,MARYLAND,106739
2006,MASSACHUSETTS,165959
2006,MICHIGAN,241941
2006,MINNESOTA,117924
2006,MISSISSIPPI,67590
2006,MISSOURI,141406
2006,MONTANA,18557
2006,NEBRASKA,44833
2006,NEVADA,48230
2006,NEW HAMPSHIRE,31399
2006,NEW JERSEY,250109
2006,NEW MEXICO,47917
2006,NEW YORK,451929
2006,NORTH CAROLINA,192451
2006,NORTH DAKOTA,13825
2006,OHIO,269133
2006,OKLAHOMA,95860
2006,OREGON,77832
2006,PENNSYLVANIA,292798
2006,RHODE ISLAND,30243
2006,SOUTH CAROLINA,107353
2006,SOUTH DAKOTA,17824
2006,TENNESSEE,120263
2006,TEXAS,494302
2006,UTAH,61166
2006,VERMONT,14010
2006,VIRGINIA,170794
2006,WASHINGTON,122979
2006,WEST VIRGINIA,49054
2006,WISCONSIN,128526
2006,WYOMING,13945
2007,ALABAMA,84772
2007,ALASKA,17535
2007,ARIZONA,122343
2007,ARKANSAS,65965
2007,CALIFORNIA,670904
2007,COLORADO,83077
2007,CONNECTICUT,68987
2007,DELAWARE,19435
2007,DISTRICT OF COLUMBIA,10863
2007,FLORIDA,391092
2007,GEORGIA,189424
2007,HAWAII,20441
2007,IDAHO,27989
2007,ILLINOIS,321668
2007,INDIANA,179076
2007,IOWA,69204
2007,KANSAS,65712
2007,KENTUCKY,109187
2007,LOUISIANA,88153
2007,MAINE,34425
2007,MARYLAND,104585
2007,MASSACHUSETTS,166747
2007,MICHIGAN,236576
2007,MINNESOTA,119332
2007,MISSISSIPPI,65717
2007,MISSOURI,138292
2007,MONTANA,18158
2007,NEBRASKA,45687
2007,NEVADA,47652
2007,NEW HAMPSHIRE,32274
2007,NEW JERSEY,250099
2007,NEW MEXICO,46384
2007,NEW YORK,453715
2007,NORTH CAROLINA,191668
2007,NORTH DAKOTA,13616
2007,OHIO,269742
2007,OKLAHOMA,95323
2007,OREGON,78264
2007,PENNSYLVANIA,293865
2007,RHODE ISLAND,29033
2007,SOUTH CAROLINA,103342
2007,SOUTH DAKOTA,17971
2007,TENNESSEE,120925
2007,TEXAS,472749
2007,UTAH,63066
2007,VERMONT,
2007,VIRGINIA,168496
2007,WASHINGTON,123698
2007,WEST VIRGINIA,47855
2007,WISCONSIN,126496
2007,WYOMING,14254
2008,ALABAMA,82861
2008,ALASKA,17662
2008,ARIZONA,124793
2008,ARKANSAS,64719
2008,CALIFORNIA,671095
2008,COLORADO,83577
2008,CONNECTICUT,68853
2008,DELAWARE,19084
2008,DISTRICT OF COLUMBIA,10671
2008,FLORIDA,384975
2008,GEORGIA,179707
2008,HAWAII,20130
2008,IDAHO,27930
2008,ILLINOIS,318529
2008,INDIANA,176114
2008,IOWA,67362
2008,KANSAS,65730
2008,KENTUCKY,107732
2008,LOUISIANA,86022
2008,MAINE,33284
2008,MARYLAND,103451
2008,MASSACHUSETTS,168497
2008,MICHIGAN,232444
2008,MINNESOTA,119991
2008,MISSISSIPPI,64407
2008,MISSOURI,132946
2008,MONTANA,17645
2008,NEBRASKA,44038
2008,NEVADA,48328
2008,NEW HAMPSHIRE,30156
2008,NEW JERSEY,223910
2008,NEW MEXICO,45957
2008,NEW YORK,444339
2008,NORTH CAROLINA,187728
2008,NORTH DAKOTA,13278
2008,OHIO,264878
2008,OKLAHOMA,93936
2008,OREGON,79404
2008,PENNSYLVANIA,294958
2008,RHODE ISLAND,27596
2008,SOUTH CAROLINA,101896
2008,SOUTH DAKOTA,17867
2008,TENNESSEE,118425
2008,TEXAS,452311
2008,UTAH,65084
2008,VERMONT,
2008,VIRGINIA,166689
2008,WASHINGTON,125334
2008,WEST VIRGINIA,46978
2008,WISCONSIN,125304
2008,WYOMING,14767
2009,ALABAMA,82997
2009,ALASKA,17893
2009,ARIZONA,125866
2009,ARKANSAS,65039
2009,CALIFORNIA,673428
2009,COLORADO,83765
2009,CONNECTICUT,68738
2009,DELAWARE,19348
2009,DISTRICT OF COLUMBIA,11371
2009,FLORIDA,376576
2009,GEORGIA,177070
2009,HAWAII,19957
2009,IDAHO,27787
2009,ILLINOIS,313583
2009,INDIANA,172095
2009,IOWA,66636
2009,KANSAS,66219
2009,KENTUCKY,106045
2009,LOUISIANA,85119
2009,MAINE,32766
2009,MARYLAND,103018
2009,MASSACHUSETTS,167297
2009,MICHIGAN,227973
2009,MINNESOTA,121359
2009,MISSISSIPPI,63988
2009,MISSOURI,129886
2009,MONTANA,17213
2009,NEBRASKA,43470
2009,NEVADA,48115
2009,NEW HAMPSHIRE,30210
2009,NEW JERSEY,229066
2009,NEW MEXICO,45782
2009,NEW YORK,461470
2009,NORTH CAROLINA,184893
2009,NORTH DAKOTA,13262
2009,OHIO,263396
2009,OKLAHOMA,95186
2009,OREGON,80062
2009,PENNSYLVANIA,294595
2009,RHODE ISLAND,26332
2009,SOUTH CAROLINA,101039
2009,SOUTH DAKOTA,17907
2009,TENNESSEE,119016
2009,TEXAS,444198
2009,UTAH,67781
2009,VERMONT,14163
2009,VIRGINIA,164771
2009,WASHINGTON,126024
2009,WEST VIRGINIA,46169
2009,WISCONSIN,125503
2009,WYOMING,15098
2010,ALABAMA,82286
2010,ALASKA,18048
2010,ARIZONA,125816
2010,ARKANSAS,64881
2010,CALIFORNIA,672174
2010,COLORADO,84710
2010,CONNECTICUT,68167
2010,DELAWARE,18608
2010,DISTRICT OF COLUMBIA,11947
2010,FLORIDA,368808
2010,GEORGIA,177544
2010,HAWAII,19716
2010,IDAHO,27388
2010,ILLINOIS,302830
2010,INDIANA,166073
2010,IOWA,68501
2010,KANSAS,66873
2010,KENTUCKY,102370
2010,LOUISIANA,82943
2010,MAINE,32261
2010,MARYLAND,103490
2010,MASSACHUSETTS,167526
2010,MICHIGAN,218957
2010,MINNESOTA,122850
2010,MISSISSIPPI,64038
2010,MISSOURI,127164
2010,MONTANA,16761
2010,NEBRASKA,44299
2010,NEVADA,48148
2010,NEW HAMPSHIRE,29920
2010,NEW JERSEY,232002
2010,NEW MEXICO,46628
2010,NEW YORK,454542
2010,NORTH CAROLINA,185107
2010,NORTH DAKOTA,13170
2010,OHIO,259454
2010,OKLAHOMA,97250
2010,OREGON,81050
2010,PENNSYLVANIA,295080
2010,RHODE ISLAND,25332
2010,SOUTH CAROLINA,100289
2010,SOUTH DAKOTA,18026
2010,TENNESSEE,120263
2010,TEXAS,442019
2010,UTAH,70278
2010,VERMONT,13936
2010,VIRGINIA,162338
2010,WASHINGTON,127978
2010,WEST VIRGINIA,45007
2010,WISCONSIN,124722
2010,WYOMING,15348
2011,ALABAMA,80149
2011,ALASKA,18055
2011,ARIZONA,127198
2011,ARKANSAS,64790
2011,CALIFORNIA,679269
2011,COLORADO,87233
2011,CONNECTICUT,68280
2011,DELAWARE,19166
2011,DISTRICT OF COLUMBIA,12536
2011,FLORIDA,358922
2011,GEORGIA,179423
2011,HAWAII,19605
2011,IDAHO,26864
2011,ILLINOIS,292956
2011,INDIANA,164147
2011,IOWA,67990
2011,KANSAS,65809
2011,KENTUCKY,98785
2011,LOUISIANA,82301
2011,MAINE,32078
2011,MARYLAND,103563
2011,MASSACHUSETTS,166236
2011,MICHIGAN,210034
2011,MINNESOTA,123353
