,attending_school,case_no,casetype,dcps_school_against,home_school,failed_parse,casetype_clean_init,casetype_isdigits,casetype_final
0,,,,,,0,nan,no_digits,Other/failed to parse
1,,,,Prospect LC,,0,nan,no_digits,Other/failed to parse
62,Macfar land M iddle School,2012--0031-B,-,Benjamin Banneker Academic HS,Spingarn Senior High School,0,-,no_digits,Other/failed to parse
63,Macfar land M iddle School,2012--0031-B,-,Benjamin Banneker Academic HS,-,0,-,no_digits,Other/failed to parse
64,Macfar land M iddle School,2012--0031-B,-,Benjamin Banneker Academic HS,• ~ - - • • I -,0,-,no_digits,Other/failed to parse
101,Spingarn Senior High School,2012-0049,-,Spingarn Senior High School,Ballou Senior High School,0,-,no_digits,Other/failed to parse
115,Booker T. Washingto n PCS,2012-0055,-,Langley EC,Wilson Senior High School,0,-,no_digits,Other/failed to parse
116,0,• V - • • •,•,Langley EC,Wilson Senior High School,0,•,no_digits,Other/failed to parse
117,0,• V - • • •,•,Garri son ES,Wilson Senior High School,0,•,no_digits,Other/failed to parse
118,0,• V - • • •,•,Garrison ES,Wilson Senior High School,0,•,no_digits,Other/failed to parse
204,Cesar Chavez PCS,2012-0096,•,Dunbar High School,Shaw MS @ Gamet -Patt erson,0,•,no_digits,Other/failed to parse
223,",.. • •",• • r,•,Dunbar High School,Brown,0,•,no_digits,Other/failed to parse
300,DC Preparatory,2012-0141,02/ 15/2012,Wilson Senior High School,Brow ne EC,0,02/ 15/2012,digits,Other/failed to parse
301,W ilson Senior High School,2012--0139,02/ 15/2012,Wi lson Senior High School,Wi lson Senio r High School,0,02/ 15/2012,digits,Other/failed to parse
302,W ilson Senior High School,2012--0139,02/ 15/2012,Wilson Senior High School,Wi lson Senio r High School,0,02/ 15/2012,digits,Other/failed to parse
303,W ilson Senior High School,2012--0139,02/ 15/2012,Roosevelt High School,Wi lson Senio r High School,0,02/ 15/2012,digits,Other/failed to parse
304,Roosevelt High School,2012--0138,02/ 15/2012,Roosevelt High School,Wi lson Senio r High School,0,02/ 15/2012,digits,Other/failed to parse
305,Roosevelt High School,2012--0138,02/ 15/2012,Accotink Academy,Wi lson Senio r High School,0,02/ 15/2012,digits,Other/failed to parse
306,Accot ink Academy,2012--0142,02/ 15/2012,Accot ink Academy,Wi lson Senio r High School,0,02/ 15/2012,digits,Other/failed to parse
307,Accot ink Academy,2012--0142,02/ 15/2012,Accotink Academy,Wi lson Senio r High School,0,02/ 15/2012,digits,Other/failed to parse
308,Cente r City PCS,2012--0140,02/ 15/2012,Accotink Academy,Center City PCS,0,02/ 15/2012,digits,Other/failed to parse
309,Cente r City PCS,2012--0140,02/ 15/2012,Anacost ia Senior High Schoo l,Center City PCS,0,02/ 15/2012,digits,Other/failed to parse
310,Cente r City PCS,2012--0140,02/ 15/2012,Anacost ia Sen ior High School,Center City PCS,0,02/ 15/2012,digits,Other/failed to parse
311,Anaco stia Senior High School,2012--0146,02/ 15/2012,Anacost ia Senior High School,Center City PCS,0,02/ 15/2012,digits,Other/failed to parse
312,Anaco stia Senior High School,2012--0146,02/ 15/2012,Anacost ia Senior High Schoo l,Center City PCS,0,02/ 15/2012,digits,Other/failed to parse
313,Lab Schoo l of Was hingto n,2012--0147,02/ 15/2012,Anacost ia Senior High Schoo l,Hearst Elementary School,0,02/ 15/2012,digits,Other/failed to parse
314,Ludlow -Taylor ES,2012--0144,02/ 15/2012,Lud low-Taylor ES,Hearst Elementary School,0,02/ 15/2012,digits,Other/failed to parse
315,Cesar Chavez PCS,2012--0148,02/ 15/2012,Lud low-Taylor ES,Hearst Elementary School,0,02/ 15/2012,digits,Other/failed to parse
316,Cesar Chavez PCS,2012--0148,02/ 15/2012,Ludlow-Taylor ES,Hearst Elementary School,0,02/ 15/2012,digits,Other/failed to parse
317,Cesar Chavez PCS,2012--0148,02/ 17/2012,Ludlow-Taylor ES,Hearst Elementary School,0,02/ 17/2012,digits,Other/failed to parse
318,Ludlow -Taylor ES,2012--0143,02/ 17/2012,Ludlow-Taylor ES,Hearst Elementary School,0,02/ 17/2012,digits,Other/failed to parse
319,Ludlow -Taylor ES,2012--0143,02/ 17/2012,Ludlow-Taylo r ES,Hearst Elementary School,0,02/ 17/2012,digits,Other/failed to parse
320,New Beginnings Vocationa,2012--0145,02/ 17/2012,Ludlow-Taylo r ES,Hearst Elementary School,0,02/ 17/2012,digits,Other/failed to parse
321,New Beginnings Vocat ional School,2012-0149,02/ 17/2012,Ludlow-Taylo r ES,Hearst Elementary School,0,02/ 17/2012,digits,Other/failed to parse
322,New Beginnings Vocat ional School,2012-0149,02/ 17/2012,Anaco st ia Senior High School,Hearst Elementary School,0,02/ 17/2012,digits,Other/failed to parse
323,New Beginnings Vocat ional School,2012-0149,02/ 17/2012,Anacost ia Senior High School,Hearst Elementary School,0,02/ 17/2012,digits,Other/failed to parse
324,New Beginnings Vocat ional School,2012-0149,02/ 17/2012,Anacost ia Senior High Schoo l,Hearst Elementary School,0,02/ 17/2012,digits,Other/failed to parse
325,.. ..,2012-0149,02/ 17/2012,Anacost ia Senior High Schoo l,Hearst Elementary School,0,02/ 17/2012,digits,Other/failed to parse
326,.. ..,2012-0149,02/ 17/2012,Anacost ia Senior High School,Hearst Elementary School,0,02/ 17/2012,digits,Other/failed to parse
327,.. ..,2012-0149,02/ 17/2012,Deal Middle School,Hearst Elementary School,0,02/ 17/2012,digits,Other/failed to parse
528,03/23/20,03/23/20,03/23/20,Eastern High School,03/23/20,0,03/23/20,digits,Other/failed to parse
780,Dunbar High School,2012--0368,05/15/ 2012,Dunbar High Schoo l,Dunbar High School,0,05/15/ 2012,digits,Other/failed to parse
781,Dunbar High School,2012--0368,05/15/ 2012,Accoti nk Academy,Dunbar High School,0,05/15/ 2012,digits,Other/failed to parse
782,Accot ink Acade my,2012-0367,05/15/ 2012,Accoti nk Academy,Spingarn Senior High School,0,05/15/ 2012,digits,Other/failed to parse
783,Accot ink Acade my,2012-0367,05/15/ 2012,Accot ink Academy,Spingarn Senior High School,0,05/15/ 2012,digits,Other/failed to parse
784,Accot ink Acade my,2012-0367,05/15/ 2012,Bruce Monroe ES@ Park View,Spingarn Senior High School,0,05/15/ 2012,digits,Other/failed to parse
785,Bruce Monroe ES@ Park View,2012--0366,05/15/ 2012,Bruce Monroe ES@ Park View,Spingarn Senior High School,0,05/15/ 2012,digits,Other/failed to parse
786,Bruce Monroe ES@ Park View,2012--0366,05/15/ 2012,Roosevelt High School,Spingarn Senior High School,0,05/15/ 2012,digits,Other/failed to parse
