,SCHOOL_NAME,AGENCY_ID_-_NCES_ASSIGNED__PUBLIC_SCHOOL__LATEST_AVAILABLE_YEAR,name_tocompare
0,ACADEMY OF HOPE ADULT PCS,1100094,ACADEMY OF HOPE ADULT PCS
1,ACHIEVEMENT PREPARATORY PCS ELEMENTARY,1100072,ACHIEVEMENT PREPARATORY PCS ELEMENTARY SCHOOL
2,ACHIEVEMENT PREPARATORY PCS MIDDLE SCHOOL,1100072,ACHIEVEMENT PREPARATORY PCS MIDDLE SCHOOL
3,ADAMS ELEMENTARY SCHOOL                           ,1100030,ADAMS ELEMENTARY SCHOOL                           
4,ADVANCED PATH ACADEMY,1100030,ADVANCED PATH ACADEMY
5,AITON ES,1100030,AITON ELEMENTARY SCHOOL
6,AMIDON BOWEN ES,1100030,AMIDON BOWEN ELEMENTARY SCHOOL
7,ANACOSTIA HS,1100030,ANACOSTIA HIGH SCHOOL
8,APPLETREE EARLY LEARNING CENTER PCS AMIDON,1100054,APPLETREE EARLY LEARNING CENTER PCS AMIDON
9,APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGHTS,1100054,APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGHTS
10,APPLETREE EARLY LEARNING CENTER PCS LINCOLN PARK,1100054,APPLETREE EARLY LEARNING CENTER PCS LINCOLN PARK
11,APPLETREE EARLY LEARNING CENTER PCS OKLAHOMA AVENUE,1100054,APPLETREE EARLY LEARNING CENTER PCS OKLAHOMA AVENUE
12,APPLETREE EARLY LEARNING CENTER PCS PARKLAND,1100054,APPLETREE EARLY LEARNING CENTER PCS PARKLAND
13,APPLETREE EARLY LEARNING CENTER PCS SOUTHEAST,1100054,APPLETREE EARLY LEARNING CENTER PCS SOUTHEAST
14,APPLETREE EARLY LEARNING CENTER PCS SOUTHWEST,1100054,APPLETREE EARLY LEARNING CENTER PCS SOUTHWEST
15,ARTS AND TECHNOLOGY PCS,1100001,ARTS AND TECHNOLOGY PCS
16,BALLOU HS,1100030,BALLOU HIGH SCHOOL
17,BALLOU STAY HS,1100030,BALLOU STAY HIGH SCHOOL
18,BANCROFT ES AT SHARPE,1100030,BANCROFT ES AT SHARPE
19,BARNARD ES,1100030,BARNARD ELEMENTARY SCHOOL
20,BASIS DC PCS,1100083,BASIS DC PCS
21,BEERS ES,1100030,BEERS ELEMENTARY SCHOOL
22,BENJAMIN BANNEKER HS,1100030,BENJAMIN BANNEKER HIGH SCHOOL
23,BOOKER T  WASHINGTON PCS,1100003,BOOKER T  WASHINGTON PCS
24,BREAKTHROUGH MONTESSORI PCS,1100104,BREAKTHROUGH MONTESSORI PCS
25,BRENT ES,1100030,BRENT ELEMENTARY SCHOOL
26,BRIDGES PCS,1100055,BRIDGES PCS
27,BRIGHTWOOD EC,1100030,BRIGHTWOOD ELEMENTARY CAMPUS
28,BRIYA PCS,1100016,BRIYA PCS
29,BROOKLAND MS,1100030,BROOKLAND MIDDLE SCHOOL
30,BROWNE EC,1100030,BROWNE ELEMENTARY CAMPUS
31,BRUCE MONROE ES AT PARK VIEW,1100030,BRUCE MONROE ES AT PARK VIEW
32,BUNKER HILL ES,1100030,BUNKER HILL ELEMENTARY SCHOOL
33,BURROUGHS ES,1100030,BURROUGHS ELEMENTARY SCHOOL
34,BURRVILLE ES,1100030,BURRVILLE ELEMENTARY SCHOOL
35,C W  HARRIS ES,1100030,C W  HARRIS ELEMENTARY SCHOOL
36,CAPITAL CITY  UPPER PCS,1100035,CAPITAL CITY  UPPER PCS
37,CAPITAL CITY PCS HIGH,1100035,CAPITAL CITY PCS HIGH SCHOOL
38,CAPITAL CITY PCS LOWER,1100035,CAPITAL CITY PCS LOWER
39,CAPITAL CITY PCS MIDDLE,1100035,CAPITAL CITY PCS MIDDLE SCHOOL
40,CAPITOL HILL MONTESSORI SCHOOL AT LOGAN,1100030,CAPITOL HILL MONTESSORI SCHOOL AT LOGAN
41,CARDOZO EC,1100030,CARDOZO ELEMENTARY CAMPUS
42,CARLOS ROSARIO INTERNATIONAL PCS,1100004,CARLOS ROSARIO INTERNATIONAL PCS
43,CARLOS ROSARIO INTERNATIONAL PCS S STREET CAMPUS,1100004,CARLOS ROSARIO INTERNATIONAL PCS S STREET CAMPUS
44,CEDAR TREE ACADEMY PCS,1100029,CEDAR TREE ACADEMY PCS
45,CENTER CITY PCS BRIGHTWOOD,1100073,CENTER CITY PCS BRIGHTWOOD
46,CENTER CITY PCS CAPITOL HILL,1100073,CENTER CITY PCS CAPITOL HILL
47,CENTER CITY PCS CONGRESS HEIGHTS,1100073,CENTER CITY PCS CONGRESS HEIGHTS
48,CENTER CITY PCS PETWORTH,1100073,CENTER CITY PCS PETWORTH
49,CENTER CITY PCS SHAW,1100073,CENTER CITY PCS SHAW
50,CENTER CITY PCS TRINIDAD,1100073,CENTER CITY PCS TRINIDAD
51,CESAR CHAVEZ PCS FOR PUBLIC POLICY CAPITOL HILL,1100005,CESAR CHAVEZ PCS FOR PUBLIC POLICY CAPITOL HILL
52,CESAR CHAVEZ PCS FOR PUBLIC POLICY CHAVEZ PREP,1100005,CESAR CHAVEZ PCS FOR PUBLIC POLICY CHAVEZ PREP
53,CESAR CHAVEZ PCS FOR PUBLIC POLICY PARKSIDE HIGH,1100005,CESAR CHAVEZ PCS FOR PUBLIC POLICY PARKSIDE HIGH SCHOOL
54,CESAR CHAVEZ PCS FOR PUBLIC POLICY PARKSIDE MIDDLE,1100005,CESAR CHAVEZ PCS FOR PUBLIC POLICY PARKSIDE MIDDLE SCHOOL
55,CHILD AND FAMILY SERVICES REGULAR ED,1100030,CHILD AND FAMILY SERVICES REGULAR ED
56,CHOICE ACADEMY AT WASH MET,1100030,CHOICE ACADEMY AT WASH MET
57,CITY ARTS AND PREP PCS,1100053,CITY ARTS AND PREP PCS
58,CLEVELAND ES,1100030,CLEVELAND ELEMENTARY SCHOOL
