STATE,YEAR,STUDENT_COUNT
ALABAMA,2017,742444
ALASKA,2017,132872
ARIZONA,2017,1106677
ARKANSAS,2017,496085
CALIFORNIA,2017,6206088
COLORADO,2017,910097
CONNECTICUT,2017,519710
DELAWARE,2017,136046
DISTRICT OF COLUMBIA,2017,86360
FLORIDA,2017,2833093
GEORGIA,2017,1768642
HAWAII,2017,180837
IDAHO,2017,301186
ILLINOIS,2017,1992313
INDIANA,2017,1053857
IOWA,2017,502878
KANSAS,2017,491481
KENTUCKY,2017,680978
LOUISIANA,2017,715135
MAINE,2017,175324
MARYLAND,2017,893684
MASSACHUSETTS,2017,953873
MICHIGAN,2017,1471364
MINNESOTA,2017,884944
MISSISSIPPI,2017,478321
MISSOURI,2017,910386
MONTANA,2017,146657
NEBRASKA,2017,323766
NEVADA,2017,485551
NEW HAMPSHIRE,2017,178308
NEW JERSEY,2017,1370676
NEW MEXICO,2017,334188
NEW YORK,2017,2697340
NORTH CAROLINA,2017,1553513
NORTH DAKOTA,2017,109694
OHIO,2017,1702623
OKLAHOMA,2017,695092
OREGON,2017,572470
PENNSYLVANIA,2017,1706697
RHODE ISLAND,2017,141448
SOUTH CAROLINA,2017,777366
SOUTH DAKOTA,2017,137298
TENNESSEE,2017,1001967
TEXAS,2017,5401341
UTAH,2017,668274
VERMONT,2017,84348
VIRGINIA,2017,1291462
WASHINGTON,2017,1110367
WEST VIRGINIA,2017,272266
WISCONSIN,2017,860752
WYOMING,2017,94258
ALABAMA,2016,744813
ALASKA,2016,132737
ARIZONA,2016,1120166
ARKANSAS,2016,493447
CALIFORNIA,2016,6212726
COLORADO,2016,904839
CONNECTICUT,2016,530601
DELAWARE,2016,136264
DISTRICT OF COLUMBIA,2016,84970
FLORIDA,2016,2816813
GEORGIA,2016,1764346
HAWAII,2016,181550
IDAHO,2016,297178
ILLINOIS,2016,2009567
INDIANA,2016,1048953
IOWA,2016,500968
KANSAS,2016,489706
KENTUCKY,2016,684017
LOUISIANA,2016,715775
MAINE,2016,175402
MARYLAND,2016,886215
MASSACHUSETTS,2016,953748
MICHIGAN,2016,1477283
MINNESOTA,2016,874915
MISSISSIPPI,2016,483150
MISSOURI,2016,913935
MONTANA,2016,146375
NEBRASKA,2016,319194
NEVADA,2016,473633
NEW HAMPSHIRE,2016,179762
NEW JERSEY,2016,1370927
NEW MEXICO,2016,336053
NEW YORK,2016,2701741
NORTH CAROLINA,2016,1549476
NORTH DAKOTA,2016,107468
OHIO,2016,1708618
OKLAHOMA,2016,693903
OREGON,2016,570723
PENNSYLVANIA,2016,1709628
RHODE ISLAND,2016,140469
SOUTH CAROLINA,2016,771250
SOUTH DAKOTA,2016,135808
TENNESSEE,2016,1001562
TEXAS,2016,5360756
UTAH,2016,659801
VERMONT,2016,84337
VIRGINIA,2016,1286853
WASHINGTON,2016,1101711
WEST VIRGINIA,2016,273855
WISCONSIN,2016,864222
WYOMING,2016,94170
ALABAMA,2015,742926
ALASKA,2015,132477
ARIZONA,2015,1104811
ARKANSAS,2015,492132
CALIFORNIA,2015,6208843
COLORADO,2015,899018
CONNECTICUT,2015,537833
DELAWARE,2015,134308
DISTRICT OF COLUMBIA,2015,82618
FLORIDA,2015,2791368
GEORGIA,2015,1757237
HAWAII,2015,181995
IDAHO,2015,292264
ILLINOIS,2015,2018739
INDIANA,2015,1046452
IOWA,2015,500105
KANSAS,2015,488568
KENTUCKY,2015,686252
LOUISIANA,2015,718711
MAINE,2015,176412
MARYLAND,2015,879587
MASSACHUSETTS,2015,953413
MICHIGAN,2015,1485144
MINNESOTA,2015,863998
MISSISSIPPI,2015,486932
MISSOURI,2015,918254
MONTANA,2015,145319
NEBRASKA,2015,316014
NEVADA,2015,467527
NEW HAMPSHIRE,2015,181307
NEW JERSEY,2015,1369508
NEW MEXICO,2015,334065
NEW YORK,2015,2711571
NORTH CAROLINA,2015,1544677
NORTH DAKOTA,2015,108464
OHIO,2015,1715148
OKLAHOMA,2015,692878
OREGON,2015,568062
PENNSYLVANIA,2015,1704502
RHODE ISLAND,2015,140427
SOUTH CAROLINA,2015,763483
SOUTH DAKOTA,2015,133792
TENNESSEE,2015,995628
TEXAS,2015,5301433
UTAH,2015,647870
VERMONT,2015,84371
VIRGINIA,2015,1283548
WASHINGTON,2015,1087030
WEST VIRGINIA,2015,277452
WISCONSIN,2015,867619
WYOMING,2015,94717
ALABAMA,2014,744164
ALASKA,2014,131176
ARIZONA,2014,1109737
ARKANSAS,2014,490917
CALIFORNIA,2014,6222731
COLORADO,2014,888939
CONNECTICUT,2014,542614
DELAWARE,2014,133835
DISTRICT OF COLUMBIA,2014,80958
FLORIDA,2014,2756944
GEORGIA,2014,1744437
HAWAII,2014,182384
IDAHO,2014,290885
ILLINOIS,2014,2041669
INDIANA,2014,1045813
IOWA,2014,496863
KANSAS,2014,490861
KENTUCKY,2014,688640
LOUISIANA,2014,716800
MAINE,2014,177287
MARYLAND,2014,874505
MASSACHUSETTS,2014,955843
MICHIGAN,2014,1491914
MINNESOTA,2014,857123
MISSISSIPPI,2014,490917
MISSOURI,2014,918124
MONTANA,2014,144532
NEBRASKA,2014,312635
NEVADA,2014,459189
NEW HAMPSHIRE,2014,183600
NEW JERSEY,2014,1368999
NEW MEXICO,2014,338357
NEW YORK,2014,2720046
NORTH CAROLINA,2014,1535441
NORTH DAKOTA,2014,106399
OHIO,2014,1723451
OKLAHOMA,2014,688511
OREGON,2014,563296
PENNSYLVANIA,2014,1723315
RHODE ISLAND,2014,140364
SOUTH CAROLINA,2014,756523
SOUTH DAKOTA,2014,132702
TENNESSEE,2014,995578
TEXAS,2014,5233736
UTAH,2014,635577
VERMONT,2014,84456
VIRGINIA,2014,1280347
WASHINGTON,2014,1073638
WEST VIRGINIA,2014,280310
WISCONSIN,2014,871249
WYOMING,2014,94067
ALABAMA,2013,742993
ALASKA,2013,130944
ARIZONA,2013,1097422
ARKANSAS,2013,489724
CALIFORNIA,2013,6223972
COLORADO,2013,876147
CONNECTICUT,2013,546078
DELAWARE,2013,131539
DISTRICT OF COLUMBIA,2013,78153
FLORIDA,2013,2720739
GEORGIA,2013,1723909
HAWAII,2013,186825
IDAHO,2013,294911
ILLINOIS,2013,2058107
INDIANA,2013,1047385
IOWA,2013,494570
KANSAS,2013,491449
KENTUCKY,2013,683957
LOUISIANA,2013,695632
MAINE,2013,178842
MARYLAND,2013,866151
MASSACHUSETTS,2013,955739
MICHIGAN,2013,1506946
MINNESOTA,2013,850871
MISSISSIPPI,2013,492586
MISSOURI,2013,918288
MONTANA,2013,144129
NEBRASKA,2013,307677
NEVADA,2013,451831
NEW HAMPSHIRE,2013,185312
NEW JERSEY,2013,1371662
NEW MEXICO,2013,337275
NEW YORK,2013,2720390
NORTH CAROLINA,2013,1521075
NORTH DAKOTA,2013,103786
OHIO,2013,1722675
OKLAHOMA,2013,681848
OREGON,2013,559650
PENNSYLVANIA,2013,1734286
RHODE ISLAND,2013,140605
SOUTH CAROLINA,2013,745591
SOUTH DAKOTA,2013,130890
TENNESSEE,2013,993556
TEXAS,2013,5153642
UTAH,2013,625461
VERMONT,2013,85407
