ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,State Name [State] 2017-18,State Name [State] 2016-17,State Name [State] 2015-16,State Name [State] 2014-15,State Name [State] 2013-14,State Name [State] 2012-13,State Name [State] 2011-12,State Name [State] 2010-11,State Name [State] 2009-10,State Name [State] 2008-09,State Name [State] 2007-08,State Name [State] 2006-07,State Abbr [State] Latest available year,Total Students [State] 2017-18,Total Students [State] 2016-17,Total Students [State] 2015-16,Total Students [State] 2014-15,Total Students [State] 2013-14,Total Students [State] 2012-13,Total Students [State] 2011-12,Total Students [State] 2010-11,Total Students [State] 2009-10,Total Students [State] 2008-09,Total Students [State] 2007-08,Total Students [State] 2006-07,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2013-14,Total Students All Grades (Excludes AE) [Public School] 2012-13,Total Students All Grades (Excludes AE) [Public School] 2011-12,Total Students All Grades (Excludes AE) [Public School] 2010-11,Total Students All Grades (Excludes AE) [Public School] 2009-10,Total Students All Grades (Excludes AE) [Public School] 2008-09,Total Students All Grades (Excludes AE) [Public School] 2007-08,Total Students All Grades (Excludes AE) [Public School] 2006-07
ALABAMA,ALABAMA,ALABAMA,ALABAMA,ALABAMA,Alabama,Alabama,ALABAMA,ALABAMA,ALABAMA,ALABAMA,ALABAMA,ALABAMA,AL ,742444,744930,743789,744164,746204,744637,744621,755552,748889,745668,742919,743632,742444,744813,742926,744164,742993,744548,731725,732895,748836,742997,743778,743469
ALASKA,ALASKA,ALASKA,ALASKA,ALASKA,Alaska,Alaska,ALASKA,ALASKA,ALASKA,ALASKA,ALASKA,ALASKA,AK ,132872,132737,132477,131176,130944,131489,131167,132104,131661,130662,131029,132608,132872,132737,132477,131176,130944,131467,131166,132104,131661,130662,131029,132608
ARIZONA,ARIZONA,ARIZONA,ARIZONA,ARIZONA,Arizona,Arizona,ARIZONA,ARIZONA,ARIZONA,ARIZONA,ARIZONA,ARIZONA,AZ ,1110851,1123137,1109040,1111695,1102445,1089384,1080319,1071751,1077831,1087817,1087447,1068249,1106677,1120166,1104811,1109737,1097422,1087733,1078180,1069592,1078756,1085822,1087263,1065082
ARKANSAS,ARKANSAS,ARKANSAS,ARKANSAS,ARKANSAS,Arkansas,Arkansas,ARKANSAS,ARKANSAS,ARKANSAS,ARKANSAS,ARKANSAS,ARKANSAS,AR ,496085,493447,492132,490917,489979,486157,483114,482114,480559,478965,479016,476409,496085,493447,492132,490917,489724,486157,483114,482114,480559,478965,479016,476132
CALIFORNIA,CALIFORNIA,CALIFORNIA,CALIFORNIA,CALIFORNIA,California,California,CALIFORNIA,CALIFORNIA,CALIFORNIA,CALIFORNIA,CALIFORNIA,CALIFORNIA,CA ,6304266,6309138,6226737,6312161,6312623,6299451,6287834,6289578,6263438,6322528,6343471,6406750,6206088,6212726,6208843,6222731,6223972,6213182,6202862,6207959,6166649,6240184,6070428,6274813
COLORADO,COLORADO,COLORADO,COLORADO,COLORADO,Colorado,Colorado,COLORADO,COLORADO,COLORADO,COLORADO,COLORADO,COLORADO,CO ,910280,905019,899112,889006,876999,863561,854265,843316,832368,818443,801867,794026,910097,904839,899018,888939,876147,863121,853669,842864,831906,817605,801867,793269
CONNECTICUT,CONNECTICUT,CONNECTICUT,CONNECTICUT,CONNECTICUT,Connecticut,Connecticut,CONNECTICUT,CONNECTICUT,CONNECTICUT,CONNECTICUT,CONNECTICUT,CONNECTICUT,CT ,531288,535118,537933,542678,546200,550954,554437,560546,563968,567198,570626,575100,519710,530601,537833,542614,546078,550643,553925,559912,563801,561766,568405,574516
DELAWARE,DELAWARE,DELAWARE,DELAWARE,DELAWARE,Delaware,Delaware,DELAWARE,DELAWARE,DELAWARE,DELAWARE,DELAWARE,DELAWARE,DE ,136293,136264,134847,134042,131687,129026,128946,129403,126801,125430,122574,122254,136046,136264,134308,133835,131539,128878,128946,128935,124809,123968,122574,122254
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,District of Columbia,District of Columbia,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,87315,85850,84024,80958,78153,76140,73911,71284,69433,68681,78422,72850,86360,84970,82618,80958,78153,75819,73844,71263,69219,68681,78108,72743
FLORIDA,FLORIDA,FLORIDA,FLORIDA,FLORIDA,Florida,Florida,FLORIDA,FLORIDA,FLORIDA,FLORIDA,FLORIDA,FLORIDA,FL ,2832424,2816791,2792234,2756944,2720744,2692162,2668156,2643347,2634522,2631020,2666811,2671513,2833093,2816813,2791368,2756944,2720739,2692162,2668113,2642758,2634522,2631020,2666811,2671513
