year,ncessch,school_name,state_name,disability,enrollment_crdc
2015,1.10001E+11,Friendship PCS Collegiate Academy,District of Columbia,Students with disabilities served under Section 504,22
2015,1.10001E+11,Friendship PCS Collegiate Academy,District of Columbia,Total,810
2015,1.10001E+11,Friendship PCS Collegiate Academy,District of Columbia,Students with disabilities served under IDEA,158
2015,1.10001E+11,Friendship PCS SouthEast Academy,District of Columbia,Students with disabilities served under Section 504,16
2015,1.10001E+11,Friendship PCS SouthEast Academy,District of Columbia,Total,544
2015,1.10001E+11,Friendship PCS SouthEast Academy,District of Columbia,Students with disabilities served under IDEA,44
2015,1.10001E+11,Friendship PCS Technology Preparatory Academy,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10001E+11,Friendship PCS Technology Preparatory Academy,District of Columbia,Total,308
2015,1.10001E+11,Friendship PCS Technology Preparatory Academy,District of Columbia,Students with disabilities served under IDEA,56
2015,1.10001E+11,Friendship PCS Blow Pierce Middle,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10001E+11,Friendship PCS Blow Pierce Middle,District of Columbia,Total,191
2015,1.10001E+11,Friendship PCS Blow Pierce Middle,District of Columbia,Students with disabilities served under IDEA,35
2015,1.10001E+11,Friendship PCS Blow Pierce Elementary,District of Columbia,Students with disabilities served under Section 504,10
2015,1.10001E+11,Friendship PCS Blow Pierce Elementary,District of Columbia,Total,410
2015,1.10001E+11,Friendship PCS Blow Pierce Elementary,District of Columbia,Students with disabilities served under IDEA,17
2015,1.10001E+11,Friendship PCS Chamberlain Elementary,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10001E+11,Friendship PCS Chamberlain Elementary,District of Columbia,Total,379
2015,1.10001E+11,Friendship PCS Chamberlain Elementary,District of Columbia,Students with disabilities served under IDEA,26
2015,1.10001E+11,Friendship PCS Woodridge Middle,District of Columbia,Students with disabilities served under Section 504,13
2015,1.10001E+11,Friendship PCS Woodridge Middle,District of Columbia,Total,176
2015,1.10001E+11,Friendship PCS Woodridge Middle,District of Columbia,Students with disabilities served under IDEA,29
2015,1.10001E+11,Friendship PCS Woodridge Elementary,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10001E+11,Friendship PCS Woodridge Elementary,District of Columbia,Total,284
2015,1.10001E+11,Friendship PCS Woodridge Elementary,District of Columbia,Students with disabilities served under IDEA,14
2015,1.10001E+11,Friendship PCS Chamberlain Middle,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10001E+11,Friendship PCS Chamberlain Middle,District of Columbia,Total,336
2015,1.10001E+11,Friendship PCS Chamberlain Middle,District of Columbia,Students with disabilities served under IDEA,53
2015,1.10001E+11,Friendship PCS Online,District of Columbia,Students with disabilities served under Section 504,8
2015,1.10001E+11,Friendship PCS Online,District of Columbia,Total,127
2015,1.10001E+11,Friendship PCS Online,District of Columbia,Students with disabilities served under IDEA,11
2015,1.10001E+11,Friendship PCS Technology Preparatory Academy High,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10001E+11,Friendship PCS Technology Preparatory Academy High,District of Columbia,Total,237
2015,1.10001E+11,Friendship PCS Technology Preparatory Academy High,District of Columbia,Students with disabilities served under IDEA,50
2015,1.10001E+11,Friendship PCS Armstrong,District of Columbia,Students with disabilities served under Section 504,13
2015,1.10001E+11,Friendship PCS Armstrong,District of Columbia,Total,435
2015,1.10001E+11,Friendship PCS Armstrong,District of Columbia,Students with disabilities served under IDEA,35
2015,1.10001E+11,Elsie Whitlow Stokes Communtiy Freedom PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10001E+11,Elsie Whitlow Stokes Communtiy Freedom PCS,District of Columbia,Total,354
2015,1.10001E+11,Elsie Whitlow Stokes Communtiy Freedom PCS,District of Columbia,Students with disabilities served under IDEA,21
2015,1.10001E+11,Perry Street Prep PCS,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10001E+11,Perry Street Prep PCS,District of Columbia,Total,330
2015,1.10001E+11,Perry Street Prep PCS,District of Columbia,Students with disabilities served under IDEA,35
2015,1.10001E+11,Ideal Academy PCS North Capitol Street Campus ES,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10001E+11,Ideal Academy PCS North Capitol Street Campus ES,District of Columbia,Total,299
2015,1.10001E+11,Ideal Academy PCS North Capitol Street Campus ES,District of Columbia,Students with disabilities served under IDEA,
2015,1.10001E+11,IDEA PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10001E+11,IDEA PCS,District of Columbia,Total,261
2015,1.10001E+11,IDEA PCS,District of Columbia,Students with disabilities served under IDEA,59
2015,1.10001E+11,Maya Angelou PCS Evans High School,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10001E+11,Maya Angelou PCS Evans High School,District of Columbia,Total,228
2015,1.10001E+11,Maya Angelou PCS Evans High School,District of Columbia,Students with disabilities served under IDEA,86
2015,1.10002E+11,Meridian PCS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10002E+11,Meridian PCS,District of Columbia,Total,729
2015,1.10002E+11,Meridian PCS,District of Columbia,Students with disabilities served under IDEA,64
2015,1.10002E+11,Briya Public Charter School,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10002E+11,Briya Public Charter School,District of Columbia,Total,49
2015,1.10002E+11,Briya Public Charter School,District of Columbia,Students with disabilities served under IDEA,4
2015,1.10002E+11,The Next Step El Pr?ximo Paso PCS,District of Columbia,Students with disabilities served under Section 504,0
