"year","ncessch","school_name","state_name","lea_name","school_level","school_type","charter","free_lunch","reduced_price_lunch","free_or_reduced_price_lunch","enrollment","direct_certification","enrollment_crdc","students_susp_in_sch","students_susp_out_sch_single","students_susp_out_sch_multiple","expulsions_no_ed_serv","expulsions_with_ed_serv","expulsions_zero_tolerance","students_corporal_punish","students_arrested","students_referred_law_enforce","students_mech_restraint","students_phys_restraint","students_seclusion"
"2016","110000500219","Cesar Chavez PCS for Public Policy Capitol Hill","District of Columbia","Cesar Chavez PCS for Public Policy","High","Regular school","Yes","","","","332","164","","","","","","","","","","","","",""
"2016","110000500328","Cesar Chavez PCS for Public Policy Parkside Middle","District of Columbia","Cesar Chavez PCS for Public Policy","Middle","Regular school","Yes","","","","278","199","","","","","","","","","","","","",""
"2016","110000500377","Cesar Chavez PCS for Public Policy Chavez Prep","District of Columbia","Cesar Chavez PCS for Public Policy","Other","Regular school","Yes","","","","306","144","","","","","","","","","","","","",""
"2016","110000500456","Cesar Chavez PCS for Public Policy Parkside High","District of Columbia","Cesar Chavez PCS for Public Policy","High","Regular school","Yes","","","","359","200","","","","","","","","","","","","",""
"2016","110000800338","Friendship PCS Collegiate Academy","District of Columbia","Friendship PCS","High","Regular school","Yes","","","","751","363","","","","","","","","","","","","",""
"2016","110000800382","Friendship PCS Southeast Academy","District of Columbia","Friendship PCS","Primary","Regular school","Yes","","","","553","394","","","","","","","","","","","","",""
"2016","110000800422","Friendship PCSTechnology Preparatory Academy Middle","District of Columbia","Friendship PCS","Middle","Regular school","Yes","","","","257","174","","","","","","","","","","","","",""
"2016","110000800478","Friendship PCS Blow Pierce Middle","District of Columbia","Friendship PCS","Primary","Regular school","Yes","","","","230","151","","","","","","","","","","","","",""
"2016","110000800479","Friendship PCS Blow Pierce Elementary","District of Columbia","Friendship PCS","Primary","Regular school","Yes","","","","388","289","","","","","","","","","","","","",""
"2016","110000800480","Friendship PCS Chamberlain Elementary","District of Columbia","Friendship PCS","Primary","Regular school","Yes","","","","387","221","","","","","","","","","","","","",""
