School Name,State Name [Public School] Latest available year,State Name [Public School] 2017-18,State Name [Public School] 2016-17,State Name [Public School] 2015-16,State Name [Public School] 2014-15,State Name [Public School] 2013-14,State Name [Public School] 2012-13,School Name [Public School] 2017-18,School Name [Public School] 2016-17,School Name [Public School] 2015-16,School Name [Public School] 2014-15,School Name [Public School] 2013-14,School Name [Public School] 2012-13,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2017-18,Agency Name [Public School] 2016-17,Agency Name [Public School] 2015-16,Agency Name [Public School] 2014-15,Agency Name [Public School] 2013-14,Agency Name [Public School] 2012-13,Agency ID - NCES Assigned [Public School] Latest available year,Title I School Status [Public School] 2017-18,Title I School Status [Public School] 2016-17,Title I School Status [Public School] 2015-16,Title I School Status [Public School] 2014-15,Title I School Status [Public School] 2013-14,Title I School Status [Public School] 2012-13,Title I Eligible School [Public School] 2017-18,Title I Eligible School [Public School] 2016-17,Title I Eligible School [Public School] 2015-16,Title I Eligible School [Public School] 2014-15,Title I Eligible School [Public School] 2013-14,Title I Eligible School [Public School] 2012-13,Latitude [Public School] 2017-18,Latitude [Public School] 2016-17,Latitude [Public School] 2015-16,Latitude [Public School] 2014-15,Latitude [Public School] 2013-14,Latitude [Public School] 2012-13,Longitude [Public School] 2017-18,Longitude [Public School] 2016-17,Longitude [Public School] 2015-16,Longitude [Public School] 2014-15,Longitude [Public School] 2013-14,Longitude [Public School] 2012-13,School Level [Public School] 2016-17,School Level [Public School] 2015-16,School Level [Public School] 2014-15,School Level [Public School] 2013-14,School Level [Public School] 2012-13,School Level (SY 2017-18 onward) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2016-17,Total Students All Grades (Excludes AE) [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2013-14,Total Students All Grades (Excludes AE) [Public School] 2012-13,Free Lunch Eligible [Public School] 2017-18,Free Lunch Eligible [Public School] 2016-17,Free Lunch Eligible [Public School] 2015-16,Free Lunch Eligible [Public School] 2014-15,Free Lunch Eligible [Public School] 2013-14,Free Lunch Eligible [Public School] 2012-13,Direct Certification [Public School] 2017-18,Direct Certification [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2016-17,Reduced-price Lunch Eligible Students [Public School] 2015-16,Reduced-price Lunch Eligible Students [Public School] 2014-15,Reduced-price Lunch Eligible Students [Public School] 2013-14,Reduced-price Lunch Eligible Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2016-17,American Indian/Alaska Native Students [Public School] 2015-16
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA,†,†,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,†,†,†,†,Academy of Hope Adult PCS,Academy of Hope Adult PCS,†,†,1.10009E+11,†,†,Academy of Hope Adult PCS,Academy of Hope Adult PCS,†,†,1100094,†,†,6-Not eligible for either TAS or SWP,6-Not eligible for either TAS or SWP,†,†,†,†,†,†,†,†,†,†,38.92381,38.92381,†,†,†,†,-76.997891,-76.997891,†,†,†,4-Other,4-Other,†,†,†,†,†,†,†,†,†,†,†,0,17,†,†,†,†,†,†,0,0,†,†,†,†,†
ACHIEVEMENT PREPARATORY PCS ELEMENTARY,District of Columbia,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,District of Columbia,†,Achievement Preparatory PCS Elementary,Achievement Preparatory PCS Elementary,Achievement Preparatory PCS Elementary,Achievement Preparatory PCS Elementary,ACHIEVEMENT PREPARATORY PCS-ELEMENTARY,†,1.10007E+11,Achievement Preparatory Academy PCS,Achievement Preparatory Academy PCS,Achievement Prep Academy PCS,Achievement Prep Academy PCS,ACHIEVEMENT PREP ACADEMY PCS,†,1100072,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,†,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,†,38.834302,38.834302,38.84087,38.84154,38.8415,†,-76.992384,-76.992384,-76.984771,-76.984831,-76.9848,†,1-Primary,1-Primary,1-Primary,1-Primary,†,Elementary,486,464,273,267,233,†,–,–,147,167,230,†,309,255,–,–,29,17,0,†,–,1,0
ACHIEVEMENT PREPARATORY PCS MIDDLE SCHOOL,District of Columbia,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,District of Columbia,District of Columbia,Achievement Preparatory PCS Middle School,Achievement Preparatory PCS Middle School,Achievement Preparatory Academy PCS Middle School,Achievement Preparatory Academy PCS Middle School,ACHIEVEMENT PREPARATORY ACADEMY PCS,ACHIEVEMENT PREPARATORY ACADEMY PCS,1.10007E+11,Achievement Preparatory Academy PCS,Achievement Preparatory Academy PCS,Achievement Prep Academy PCS,Achievement Prep Academy PCS,ACHIEVEMENT PREP ACADEMY PCS,ACHIEVEMENT PREPARATORY ACADEMY PCS,1100072,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,38.834334,38.834334,38.834334,38.833889,38.8339,38.833886,-76.992349,-76.992349,-76.992349,-76.992467,-76.9925,-76.992519,1-Primary,2-Middle,2-Middle,2-Middle,2-Middle,Middle,476,468,383,381,382,315,–,–,288,248,379,226,284,238,–,–,31,26,0,42,1,–,0
ADAMS ELEMENTARY SCHOOL                           ,District of Columbia,†,†,†,†,District of Columbia,District of Columbia,†,†,†,†,OYSTER ADAMS BILINGUAL SCHOOL ADAMS,OYSTER ADAMS BILINGUAL SCHOOL ADAMS,1.10003E+11,†,†,†,†,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1100030,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,38.9172,38.917144,†,†,†,†,-77.044,-77.044041,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ADVANCED PATH ACADEMY,District of Columbia,†,†,†,†,†,District of Columbia,†,†,†,†,†,ADVANCED PATH ACADEMY,1.10003E+11,†,†,†,†,†,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1100030,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,38.90583,†,†,†,†,†,-77.006531,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
AITON ES,District of Columbia,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,District of Columbia,District of Columbia,Aiton ES,Aiton ES,Aiton ES,Aiton ES,AITON ES,AITON ES,1.10003E+11,District of Columbia Public Schools,District of Columbia Public Schools,District of Columbia Public Schools,District of Columbia Public Schools,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1100030,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,38.896669,38.896669,38.896669,38.896669,38.8967,38.896669,-76.933728,-76.933728,-76.933728,-76.933728,-76.9337,-76.933728,1-Primary,1-Primary,1-Primary,1-Primary,1-Primary,Elementary,243,251,260,262,247,252,–,–,260,262,244,183,190,199,–,–,0,0,0,0,–,–,0
AMIDON BOWEN ES,District of Columbia,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,District of Columbia,District of Columbia,Amidon Bowen ES,Amidon Bowen ES,Amidon Bowen  ES,Amidon Bowen  ES,AMIDON BOWEN  ES,AMIDON BOWEN  ES,1.10003E+11,District of Columbia Public Schools,District of Columbia Public Schools,District of Columbia Public Schools,District of Columbia Public Schools,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1100030,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,38.879823,38.879823,38.879823,38.879823,38.8798,38.879823,-77.018149,-77.018149,-77.018149,-77.018149,-77.0181,-77.018149,1-Primary,1-Primary,1-Primary,1-Primary,1-Primary,Elementary,351,350,356,345,342,293,–,–,356,345,339,214,229,241,–,–,0,0,0,0,–,–,1
ANACOSTIA HS,District of Columbia,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,District of Columbia,District of Columbia,Anacostia HS,Anacostia HS,Anacostia HS,Anacostia SHS,ANACOSTIA SHS,ANACOSTIA SHS,1.10003E+11,District of Columbia Public Schools,District of Columbia Public Schools,District of Columbia Public Schools,District of Columbia Public Schools,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,1100030,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,5-Eligible for Title I SWP provides SWP program,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,1-Yes,38.86992,38.86992,38.870073,38.870073,38.8701,38.870073,-76.982691,-76.982691,-76.983142,-76.983142,-76.9831,-76.983142,3-High,3-High,3-High,3-High,3-High,High,379,449,597,661,751,697,–,–,597,661,748,491,286,330,–,–,0,0,0,0,–,–,0
APPLETREE EARLY LEARNING CENTER PCS AMIDON,District of Columbia,†,†,†,DISTRICT OF COLUMBIA,District of Columbia,District of Columbia,†,†,†,AppleTree Early Learning Center PCS  Amidon,APPLETREE EARLY LEARNING CENTER PCS  AMIDON,APPLETREE EARLY LEARNING CENTER PCS AMIDON,1.10005E+11,†,†,†,AppleTree Early Learning Center PCS,APPLETREE EARLY LEARNING CENTER PCS,APPLETREE EARLY LEARNING CENTER PCS,1100054,†,†,†,†,†,6-Not eligible for either TAS or SWP,†,†,†,†,†,2-No,†,†,†,†,38.8793,38.879325,†,†,†,†,-77.0177,-77.01759,†,†,†,†,1-Primary,†,†,†,†,†,†,44,†,†,†,†,†,21,†,†,†,†,†,†,†,2,†,†,†
APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGHTS,District of Columbia,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,District of Columbia,District of Columbia,AppleTree Early Learning Center PCS Columbia Heights,AppleTree Early Learning Center PCS Columbia Heights,AppleTree Early Learning Center PCS Columbia Heights,AppleTree Early Learning Center PCS Columbia Heights,APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGH,APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGH,1.10005E+11,AppleTree Early Learning PCS,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS,AppleTree Early Learning Center PCS,APPLETREE EARLY LEARNING CENTER PCS,APPLETREE EARLY LEARNING CENTER PCS,1100054,6-Not eligible for either TAS or SWP,6-Not eligible for either TAS or SWP,6-Not eligible for either TAS or SWP,6-Not eligible for either TAS or SWP,6-Not eligible for either TAS or SWP,6-Not eligible for either TAS or SWP,2-No,2-No,2-No,2-No,2-No,2-No,38.925304,38.925304,38.92519,38.92519,38.9252,38.92519,-77.032604,-77.032604,-77.032701,-77.032701,-77.0327,-77.032701,1-Primary,1-Primary,1-Primary,1-Primary,1-Primary,Prekindergarten,162,160,158,163,161,161,–,–,90,142,146,91,57,53,–,–,10,18,12,8,1,1,0
