School Name,State Name [Public School] Latest available year,School Name [Public School] 2017-18,School Name [Public School] 2016-17,School Name [Public School] 2015-16,School Name [Public School] 2014-15,School Name [Public School] 2013-14,School Name [Public School] 2012-13,School ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2016-17,American Indian/Alaska Native Students [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2014-15,American Indian/Alaska Native Students [Public School] 2013-14,American Indian/Alaska Native Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2014-15,Asian or Asian/Pacific Islander Students [Public School] 2013-14,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Hispanic Students [Public School] 2017-18,Hispanic Students [Public School] 2016-17,Hispanic Students [Public School] 2015-16,Hispanic Students [Public School] 2014-15,Hispanic Students [Public School] 2013-14,Hispanic Students [Public School] 2012-13,Black Students [Public School] 2017-18,Black Students [Public School] 2016-17,Black Students [Public School] 2015-16,Black Students [Public School] 2014-15,Black Students [Public School] 2013-14,Black Students [Public School] 2012-13,White Students [Public School] 2017-18,White Students [Public School] 2016-17,White Students [Public School] 2015-16,White Students [Public School] 2014-15,White Students [Public School] 2013-14,White Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2017-18,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2014-15,Hawaiian Nat./Pacific Isl. Students [Public School] 2013-14,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Two or More Races Students [Public School] 2017-18,Two or More Races Students [Public School] 2016-17,Two or More Races Students [Public School] 2015-16,Two or More Races Students [Public School] 2014-15,Two or More Races Students [Public School] 2013-14,Two or More Races Students [Public School] 2012-13,Total Race/Ethnicity [Public School] 2017-18,Total Race/Ethnicity [Public School] 2016-17,Total Race/Ethnicity [Public School] 2015-16,Total Race/Ethnicity [Public School] 2014-15,Total Race/Ethnicity [Public School] 2013-14,Total Race/Ethnicity [Public School] 2012-13,Pupil/Teacher Ratio [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2016-17,Pupil/Teacher Ratio [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2014-15,Pupil/Teacher Ratio [Public School] 2013-14,Pupil/Teacher Ratio [Public School] 2012-13,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2016-17,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2014-15,Full-Time Equivalent (FTE) Teachers [Public School] 2013-14,Full-Time Equivalent (FTE) Teachers [Public School] 2012-13
ACADEMY OF HOPE ADULT PCS,DISTRICT OF COLUMBIA, , ,Academy of Hope Adult PCS,Academy of Hope Adult PCS, , ,1.10009E+11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0, , , , ,Ð,Ð, , , , ,Ð,Ð, , 
ACHIEVEMENT PREPARATORY PCS ELEMENTARY,District of Columbia,Achievement Preparatory PCS Elementary,Achievement Preparatory PCS Elementary,Achievement Preparatory PCS Elementary,Achievement Preparatory PCS Elementary,ACHIEVEMENT PREPARATORY PCS-ELEMENTARY, ,1.10007E+11,Ð,1,0,0,0, ,Ð,Ð,0,0,0, ,9,10,6,0,0, ,472,450,267,266,233, ,3,3,0,1,0, ,Ð,Ð,0,0,0, ,2,Ð,0,0,0, ,486, ,273,267,233, ,11.3,66.29,8.81,10.68,10.13, ,43,7,31,25,23, 
ACHIEVEMENT PREPARATORY PCS MIDDLE SCHOOL,District of Columbia,Achievement Preparatory PCS Middle School,Achievement Preparatory PCS Middle School,Achievement Preparatory Academy PCS Middle School,Achievement Preparatory Academy PCS Middle School,ACHIEVEMENT PREPARATORY ACADEMY PCS,ACHIEVEMENT PREPARATORY ACADEMY PCS,1.10007E+11,1,Ð,0,0,0,0,Ð,Ð,0,0,0,0,3,7,3,0,0,0,469,461,380,379,382,315,Ð,Ð,0,2,0,0,Ð,Ð,0,0,0,0,3,Ð,0,0,0,0,476, ,383,381,382,315,14.88, ,11.33,9.72,10.19,15.75,32,Ð,33.8,39.2,37.5,20
ADAMS ELEMENTARY SCHOOL                           ,District of Columbia, , , , ,OYSTER ADAMS BILINGUAL SCHOOL ADAMS,OYSTER ADAMS BILINGUAL SCHOOL ADAMS,1.10003E+11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Ð,Ð, , , , ,Ð, 
ADVANCED PATH ACADEMY,District of Columbia, , , , , ,ADVANCED PATH ACADEMY,1.10003E+11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Ð, , , , , , 
AITON ES,District of Columbia,Aiton ES,Aiton ES,Aiton ES,Aiton ES,AITON ES,AITON ES,1.10003E+11,Ð,Ð,0,0,0,0,Ð,Ð,0,0,0,0,5,1,3,1,0,1,238,250,257,261,246,251,Ð,Ð,0,0,0,0,Ð,Ð,0,0,1,0,Ð,Ð,0,0,0,0,243, ,260,262,247,252,11.57,9.65,11.82,12.13,12.67,16.8,21,26,22,21.6,19.5,15
AMIDON BOWEN ES,District of Columbia,Amidon Bowen ES,Amidon Bowen ES,Amidon Bowen  ES,Amidon Bowen  ES,AMIDON BOWEN  ES,AMIDON BOWEN  ES,1.10003E+11,Ð,Ð,1,0,0,0,5,8,7,5,4,5,18,14,19,16,14,14,291,307,317,304,311,269,25,16,10,11,9,5,Ð,Ð,0,2,1,0,12,5,2,7,3,0,351, ,356,345,342,293,12.1,11.29,12.71,12.75,14.87,13.95,29,31,28,27.05,23,21
ANACOSTIA HS,District of Columbia,Anacostia HS,Anacostia HS,Anacostia HS,Anacostia SHS,ANACOSTIA SHS,ANACOSTIA SHS,1.10003E+11,Ð,Ð,0,0,0,0,Ð,Ð,0,0,0,0,4,3,1,1,3,1,374,444,593,659,747,695,Ð,Ð,1,0,0,0,Ð,Ð,0,0,0,0,1,2,2,1,1,1,379, ,597,661,751,697,7.9,7.24,9.95,11.8,12.52,12.02,48,62,60,56,60,58
APPLETREE EARLY LEARNING CENTER PCS AMIDON,District of Columbia, , , ,AppleTree Early Learning Center PCS  Amidon,APPLETREE EARLY LEARNING CENTER PCS  AMIDON,APPLETREE EARLY LEARNING CENTER PCS AMIDON,1.10005E+11, , , , , ,0, , , , , ,0, , , , , ,0, , , , , ,34, , , , , ,10, , , , , ,0, , , , , ,0, , , ,0, ,44, , , , , ,14.67, , , , , ,3
APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGHTS,District of Columbia,AppleTree Early Learning Center PCS Columbia Heights,AppleTree Early Learning Center PCS Columbia Heights,AppleTree Early Learning Center PCS Columbia Heights,AppleTree Early Learning Center PCS Columbia Heights,APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGH,APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGH,1.10005E+11,1,1,0,0,1,2,5,2,5,3,8,5,38,44,30,13,35,13,94,84,87,113,92,102,24,28,36,34,24,39,Ð,1,0,0,1,0,Ð,Ð,0,0,0,0,162, ,158,163,161,161,8.53,6.96,9.88,16.3,10.06,14.64,19,23,16,10,16,11
APPLETREE EARLY LEARNING CENTER PCS LINCOLN PARK,District of Columbia,AppleTree Early Learning Center PCS Lincoln Park,AppleTree Early Learning Center PCS Lincoln Park,AppleTree Early Learning Center PCS Lincoln Park,AppleTree Early Learning Center PCS Lincoln Park,APPLETREE EARLY LEARNING CENTER PCS LINCOLN PARK,APPLETREE EARLY LEARNING CENTER PCS LINCOLN,1.10005E+11,1,2,1,0,0,0,3,6,3,4,5,1,4,3,5,2,8,2,27,18,20,28,26,34,25,31,31,26,23,17,Ð,Ð,0,0,1,0,Ð,Ð,0,0,0,7,60, ,60,60,63,61,10,6.67,12,20,10.5,20.33,6,9,5,3,6,3
