original_name,matched_name,source,multiple
ACADEMY FO R IDEA L EDUCATION,IDEAL ACADEMY PCS,ccd,0
ACADEMY FO R IDEAL EDUCATION,IDEAL ACADEMY PCS,ccd,0
ACADEMY FOR IDEA L EDUCATION,IDEAL ACADEMY PCS,ccd,0
ACADEMY FOR IDEAL EDUCATION,IDEAL ACADEMY PCS,ccd,0
ACCO TI NK ACADEMY,NA,ccd,0
ACCO TINK ACADEMY,NA,ccd,0
ACCOT I N K ACADEMY,NA,ccd,0
ACCOT INK ACADEMY,NA,ccd,0
ACCOTI NK ACADEMY,NA,ccd,0
ACCOTINK ACADEMY,NA,ccd,0
ACHIEVEM ENT PREP ACADEMY PUBLIC CHAR TER SCHOOL,ACHIEVEMENT PREPARATORY PCS ELEMENTARY SCHOOL,ccd,0
ACHIEVEMENT PREP ACADEMY PUB LIC CHARTER SCHOOL,ACHIEVEMENT PREPARATORY PCS ELEMENTARY SCHOOL,ccd,0
ACHIEVEMENT PREP ACADEMY PUBLIC CHARTER SCHOOL,ACHIEVEMENT PREPARATORY PCS ELEMENTARY SCHOOL,ccd,0
ADV ANCE PATH,ADVANCED PATH ACADEMY,ccd,0
ADVA NCE PATH,ADVANCED PATH ACADEMY,ccd,0
ADVANCE PATH,ADVANCED PATH ACADEMY,ccd,0
ANACO SLIA SENIOR HIGH SCHOOL,ANACOSTIA HIGH SCHOOL,ccd,0
ANACO ST IA SEN IOR HIGH SCHOOL,ANACOSTIA HIGH SCHOOL,ccd,0
ANACO ST IA SENIOR HIGH SCHOOL,ANACOSTIA HIGH SCHOOL,ccd,0
ANACOS T IA SENIOR HIGH SCHOOL,ANACOSTIA HIGH SCHOOL,ccd,0
ANACOSLIA SENIOR HIGH SCHOOL,ANACOSTIA HIGH SCHOOL,ccd,0
ANACOST IA SEN IOR HIGH SCHOOL,ANACOSTIA HIGH SCHOOL,ccd,0
ANACOST IA SENIO R HIGH SCHOOL,ANACOSTIA HIGH SCHOOL,ccd,0
ANACOST IA SENIOR HIGH SCHOOL,ANACOSTIA HIGH SCHOOL,ccd,0
ANACOSTLA SENIOR HIGH SCHOOL,ANACOSTIA HIGH SCHOOL,ccd,0
ARCHBISHO P CARR OLL HIGH SCHOOL,NA,ccd,0
ARCHBISHOP CARROLL HIGH SCHOOL,NA,ccd,0
BALLO U SEN IOR HIGH SCHOOL,BALLOU HIGH SCHOOL,ccd,0
BALLO U SENIOR HIGH SCHOOL,BALLOU HIGH SCHOOL,ccd,0
BANCRO FT ELEMENTARY SCHOOL,BALLOU HIGH SCHOOL,ccd,0
BANCROFT ELEMENTARY SCHOOL,BALLOU HIGH SCHOOL,ccd,0
BEL L MU LT ICU LT URAL SENIOR HIGH SCHOOL,NA,ccd,0
BEL L MU LT ICULT URA L SENIOR HIGH SCHOOL,NA,ccd,0
BEL L MU LT ICULT URAL SENIOR HIGH SCHOOL,NA,ccd,0
BEL L MU LT ICULTURAL SENIOR HIGH SCHOOL,NA,ccd,0
BELL M ULTIC ULT URAL SENIOR HIGH SCHOOL,NA,ccd,0
BELL MU LT ICULT URA L SENIOR HIGH SCHOOL,NA,ccd,0
BELL MU LT ICULT URAL SENIOR HIGH SCHOOL,NA,ccd,0
BELL MU LT ICULTUR AL SENIOR HIGH SCHOOL,NA,ccd,0
BELL MU LT ICULTURAL SENIOR HIGH SCHOOL,NA,ccd,0
BENJAM IN BANN EKER ACADEM IC HIGH SCHOOL,BENJAMIN BANNEKER HIGH SCHOOL,ccd,0
BENJAM IN BANNEKER ACADEM IC HIGH SCHOOL,BENJAMIN BANNEKER HIGH SCHOOL,ccd,0
