,matched_name,score,original_name
0,ACHIEVEMENT PREPARATORY PCS-ELEMENTARY,100,ACHIEVEMENT PREPARATORY PCS ELEMENTARY
0,AMIDON BOWEN  ES,97,AMIDON BOWEN ES
0,ANACOSTIA SHS,96,ANACOSTIA HS
0,APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGH,98,APPLETREE EARLY LEARNING CENTER PCS COLUMBIA HEIGHTS
0,APPLETREE EARLY LEARNING CENTER PCS OKLAHOMA,95,APPLETREE EARLY LEARNING CENTER PCS OKLAHOMA AVENUE
0,APPLETREE EARLY LEARNING PCS SOUTHEAST,95,APPLETREE EARLY LEARNING CENTER PCS SOUTHEAST
0,APPLETREE EARLY LEARNING CENTER PCS SOUTHWEST AMID,95,APPLETREE EARLY LEARNING CENTER PCS SOUTHWEST
0,BALLOU SHS,95,BALLOU HS
0,BALLOU STAY,95,BALLOU STAY HS
0,BANCROFT ES,90,BANCROFT ES AT SHARPE
0,BENJAMIN BANNEKER ACADEMY HS,95,BENJAMIN BANNEKER HS
0,BURROUGHS EC,92,BURROUGHS ES
0,CAPITAL CITY LOWER PCS,95,CAPITAL CITY PCS LOWER
0,CAPITAL CITY MIDDLE SCHOOL PCS,95,CAPITAL CITY PCS MIDDLE
0,CENTER CITY BRIGHTWOOD CAMPUS PCS,95,CENTER CITY PCS BRIGHTWOOD
0,CENTER CITY CAPITOL HILL CAMPUS PCS,95,CENTER CITY PCS CAPITOL HILL
0,CENTER CITY CONGRESS HEIGHTS CAMPUS PCS,95,CENTER CITY PCS CONGRESS HEIGHTS
0,CENTER CITY PETWORTH CAMPUS PCS,95,CENTER CITY PCS PETWORTH
0,CENTER CITY SHAW CAMPUS PCS,95,CENTER CITY PCS SHAW
0,CENTER CITY TRINIDAD CAMPUS PCS,95,CENTER CITY PCS TRINIDAD
0,CESAR CHAVEZ FOR PUBLIC POLICY CAPITOL HILL PCS,95,CESAR CHAVEZ PCS FOR PUBLIC POLICY CAPITOL HILL
0,CESAR CHAVEZ PCS FOR PUBLIC POLICY-PARKSIDE HS,96,CESAR CHAVEZ PCS FOR PUBLIC POLICY PARKSIDE HIGH
0,CESAR CHAVEZ FOR PUBLIC POLICY PARKSIDE MS PCS,92,CESAR CHAVEZ PCS FOR PUBLIC POLICY PARKSIDE MIDDLE
0,COOLIDGE SHS,96,COOLIDGE HS
0,D C  BILINGUAL PCS,94,DC BILINGUAL PCS
0,ELLINGTON SCHOOL OF THE ARTS,95,DUKE ELLINGTON SCHOOL OF THE ARTS
0,ELSIE WHITLOW STOKES COMMUNTIY FREEDOM PCS,98,ELSIE WHITLOW STOKES COMMUNITY FREEDOM PCS
0,FRIENDSHIP PCS BLOW-PIERCE MIDDLE,95,FRIENDSHIP PCS BLOW PIERCE
0,FRIENDSHIP PCS BLOW-PIERCE MIDDLE,100,FRIENDSHIP PCS BLOW PIERCE MIDDLE
0,WOODSON H D  HS,95,H D WOODSON HS
0,HOPE COMMUNITY PCS LAMOND CAMPUS,95,HOPE COMMUNITY PCS LAMOND
0,HOPE COMMUNITY PCS TOLSON CAMPUS,95,HOPE COMMUNITY PCS TOLSON
0,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENC,95,HOWARD UNIVERSITY MIDDLE SCHOOL OF MATH AND SCIENCE PCS
0,HYDE ADDISON ES,90,HYDE ADDISON ES AT MEYER
0,IDEAL ACADEMY PCS   NORTH CAPITOL STREET CAMPUS ES,90,IDEAL ACADEMY PCS
0,KIMBALL ES,90,KIMBALL ES AT DAVIS
0,KIPP DC AIM PCS ACADEMY PCS,95,KIPP DC AIM ACADEMY PCS
0,KIPP DC CONNECT ACADEMY,95,KIPP DC CONNECT ACADEMY PCS
0,KIPP DC DISCOVER PCS,95,KIPP DC DISCOVER ACADEMY PCS
0,KIPP DC LEAD ACADEMY,95,KIPP DC LEAD ACADEMY PCS
0,KIPP DC PROMISE PCS,95,KIPP DC PCS PROMISE ACADEMY
0,KIPP DC SPRING ACADEMY,95,KIPP DC SPRING ACADEMY PCS
0,LANGDON EC,90,LANGDON ES
0,LANGLEY EC,90,LANGLEY ES
0,LASALLE   BACKUS EC,95,LASALLE BACKUS EC
0,LATIN AMERICA MONTESSORI BILINGUAL LAMB PCS,93,LATIN AMERICAN MONTESSORI BILINGUAL PCS
0,MARY MCLEOD BETHUNE DAY ACADEMY PCS SLOWE CAMPUS,95,MARY MCLEOD BETHUNE DAY ACADEMY PCS
0,MAYA ANGELOU ACADEMY AT NEW BEGINNINGS FORMERLY OA,95,MAYA ANGELOU ACADEMY AT NEW BEGINNINGS
0,MAYA ANGELOU PCS EVANS HIGH SCHOOL,95,MAYA ANGELOU PCS HIGH SCHOOL
0,MURCH ES,90,MURCH ES AT UDC
0,OYSTER ADAMS BILINGUAL SCHOOL OYSTER,95,OYSTER ADAMS BILINGUAL SCHOOL
0,PEABODY ES CAPITAL HILL CLUSTER,97,PEABODY ES CAPITOL HILL CLUSTER
0,PHELPS ARCHITECTURE CONSTRUCTION AND ENGINEERING H,99,PHELPS ARCHITECTURE CONSTRUCTION AND ENGINEERING HS
0,RICHARD WRIGHT PCS FOR JOURNALISM AND MEDIA ARTS P,98,RICHARD WRIGHT PCS FOR JOURNALISM AND MEDIA ARTS
