,matched_name,score,original_name
0,PROSPECT LC,100,PROSPECT LC
0,JOHNSON MIDDLE SCHOOL,100,JOHNSON MIDDLE SCHOOL
0,EASTERN HIGH SCHOOL,100,EASTERN HIGH SCHOOL
0,EASTERN HIGH SCHOOL,97,EASTE RN HIGH SCHOOL
0,DUNBAR HIGH SCHOOL,100,DUNBAR HIGH SCHOOL
0,ROOSEVELT HIGH SCHOOL,100,ROOSEVELT HIGH SCHOOL
0,HENDLEY ELEMENTARY SCHOOL,98,HEND LEY ELEMENTARY SCHOOL
0,HENDLEY ELEMENTARY SCHOOL,100,HENDLEY ELEMENTARY SCHOOL
0,SMOTHERS ELEMENTARY SCHOOL,90,OTHER
0,SEATON ELEMENTARY SCHOOL,100,SEATON ELEMENTARY SCHOOL
0,GARRISON ELEMENTARY SCHOOL,100,GARRISON ELEMENTARY SCHOOL
0,GARRISON ELEMENTARY SCHOOL,98,GARRI SON ELEMENTARY SCHOOL
0,DEAL MIDDLE SCHOOL,100,DEAL MIDDLE SCHOOL
0,MACFARLAND MIDDLE SCHOOL,100,MACFARLAND MIDDLE SCHOOL
0,MACFARLAND MIDDLE SCHOOL,98,MACFAR LAND MIDDLE SCHOOL
0,BENJAMIN BANNEKER HIGH SCHOOL,95,BENJAMIN BANNEKER ACADEMIC HIGH SCHOOL
0,BENJAMIN BANNEKER HIGH SCHOOL,95,BENJAMIN BANNEKER ACADEM IC HIGH SCHOOL
0,SOUSA MIDDLE SCHOOL,100,SOUSA MIDDLE SCHOOL
0,SIMON ELEMENTARY SCHOOL,100,SIMON ELEMENTARY SCHOOL
0,KELLY MILLER MIDDLE SCHOOL,98,KELLY MI LLER MIDDLE SCHOOL
0,KELLY MILLER MIDDLE SCHOOL,98,KELLY M ILLER MIDDLE SCHOOL
0,BALLOU HIGH SCHOOL,95,BALLOU SENIOR HIGH SCHOOL
0,GARRISON ELEMENTARY SCHOOL,98,GARR ISON ELEMENTARY SCHOOL
0,JEFFERSON MIDDLE SCHOOL,98,JEFF ERSON MIDDLE SCHOOL
0,JEFFERSON MIDDLE SCHOOL,100,JEFFERSON MIDDLE SCHOOL
0,THOMAS ELEMENTARY SCHOOL,100,THOMAS ELEMENTARY SCHOOL
0,WALKER JONES ELEMENTARY CAMPUS,95,WALKER-JONES/TU RNER ELEMENTARY CAMPUS
0,KRAMER MIDDLE SCHOOL,100,KRAMER MIDDLE SCHOOL
0,KRAMER MIDDLE SCHOOL,98,KRAME R MIDDLE SCHOOL
0,BRIGHTWOOD ELEMENTARY CAMPUS,100,BRIGHTWOOD ELEMENTARY CAMPUS
0,BRIGHTWOOD ELEMENTARY CAMPUS,97,BRIGH TW OOD ELEMENTARY CAMPUS
0,BRIGHTWOOD ELEMENTARY CAMPUS,98,BRIGHTW OOD ELEMENTARY CAMPUS
0,KETCHAM ELEMENTARY SCHOOL,100,KETCHAM ELEMENTARY SCHOOL
0,HART MIDDLE SCHOOL,100,HART MIDDLE SCHOOL
0,SHAW MS AT GARNET PATTERSON,96,SHAW MS@ GARNET-PATTERSON
0,SHAW MS AT GARNET PATTERSON,95,SHAW MS@ GARNET -PATTERSON
0,SHAW MS AT GARNET PATTERSON,94,SHAW MS@ GARNET-PATTE RSON
0,SHAW MS AT GARNET PATTERSON,93,SHAW MS@ GARNET -PATT ERSON
0,DREW ELEMENTARY SCHOOL,91,HYDE ELEMENTARY SCHOOL
0,ANACOSTIA HIGH SCHOOL,95,ANACOSTIA SENIOR HIGH SCHOOL
0,RIVER TERRACE ELEMENTARY SCHOOL,100,RIVER TERRACE ELEMENTARY SCHOOL
0,KELLY MILLER MIDDLE SCHOOL,91,KELLY MI IIER MIDDLE SCHOOL
0,LUDLOW TAYLOR ELEMENTARY SCHOOL,100,LUDLOW-TAYLOR ELEMENTARY SCHOOL
0,LUDLOW TAYLOR ELEMENTARY SCHOOL,98,LUDLOW -TAYLOR ELEMENTARY SCHOOL
0,LUDLOW TAYLOR ELEMENTARY SCHOOL,98,LUDLOW-TAY LOR ELEMENTARY SCHOOL
