attending_school,case_no,casetype,dcps_school_against,home_school
,,,,
,,,Prospect LC,
Prospect LC,2012--0002,Aga inst LEA,Prospect LC,
low Stokes Community Freedom PCS,2012--0003,Against LEA,Prospect LC,
Cesar Chavez PCS,2012--0006,Against LEA,Prospect LC,
Cesar Chavez PCS,2012--0006,Against LEA,Heights Educat ion Center High Schoo l,
Cesar Chavez PCS,2012--0005,Again st LEA,Heights Educat ion Center High Schoo l,
Johnson MS,2012--0007,Against LEA,Johnson MS,Johnson MS
Cesar Chavez PCS,2012--0011,Against LEA,Johnson MS,Cesar Chavez PCS
Cesar Chavez PCS,2012--0011,Against LEA,Eastern High Schoo l,Cesar Chavez PCS
Eastern High Schoo l,2012--0009,Against LEA,Easte rn High School,Cesar Chavez PCS
Eastern High Schoo l,2012--0009,Against LEA,Dunbar High Schoo l,Cesar Chavez PCS
Dunbar High School,2012-00 15,Aga inst LEA,Dunbar High Schoo l,Cesar Chavez PCS
Dunbar High School,2012-00 15,Aga inst LEA,Dunbar High School,Cesar Chavez PCS
Dunbar High School,2012-00 15,Aga inst LEA,Roosevelt High School,Cesar Chavez PCS
Roosevelt High Schoo l,2012--0008,Expedited Discip line,Roosevelt High Schoo l,Cesar Chavez PCS
Roosevelt High Schoo l,2012--0008,Expedited Discip line,Roosevelt High School,Cesar Chavez PCS
Roosevelt High Schoo l,2012--0012,Aga inst LEA,Roosevelt High Schoo l,Cesar Chavez PCS
Roosevelt High Schoo l,2012--0012,Aga inst LEA,Hend ley Elementa ry Schoo l,Cesar Chavez PCS
Roosevelt High Schoo l,2012-0010,Aga inst LEA,Hend ley Elementa ry Schoo l,Cesar Chavez PCS
Roosevelt High Schoo l,2012-0010,Aga inst LEA,Hendley Elementary School,Cesar Chavez PCS
Roosevelt High Schoo l,2012-0010,Aga inst LEA,Monroe Schoo l,Cesar Chavez PCS
Mon roe School,2011-1229,Against LEA,Monroe Schoo l,Cesar Chavez PCS
Non -Attendi,2012--0013,Aga inst LEA,Spingarn Senior High School,Cesar Chavez PCS
Lab School of Wash ington,2012--0014,Against LEA,Spingarn Senior High School,Oyster Adams Bili ngual
Lab School of Wash ington,2012-0019,Again st LEA,Spingarn Senior High School,Anacost ia Senior High Schoo l
Lab School of Wash ington,2012-0019,Again st LEA,Other,Anacost ia Senior High Schoo l
Non-Attending,2012-0020,Against LEA,Other,Hardy MS@ Hamilton School
Seaton Elementary,2012--0018,Again st LEA,Seaton Eleme ntary School,Powell Element ary School
Seaton Elementary,2012--0018,Again st LEA,Eastern High School,Powell Element ary School
Eastern High School,2012-0017,Against LEA,Eastern High School,Powell Element ary School
Eastern High School,2012-0017,Against LEA,Easte rn High School,Powell Element ary School
Eastern High School,2012-0017,Against LEA,Garrison ES,Powell Element ary School
Garri son ES,2012-00 16,Against LEA,Garri son ES,Powell Element ary School
Garri son ES,2012-00 16,Against LEA,Garrison ES,Powell Element ary School
Garri son ES,2012-00 16,Against LEA,Deal M idd le School,Powell Element ary School
Deal M iddle School,2012-0024,Against LEA,Deal M idd le School,Powell Element ary School
Deal M iddle School,2012-0024,Against LEA,Deal Midd le School,Powell Element ary School
Accotlnk Academy,2012-0023,Against LEA,Accotink Academy,Powell Element ary School
New Beginnings Vocationa l School,2012-0022,Against LEA,Accotink Academy,Bal lou Senior High School
New Beginnings Vocationa l School,2012-0022,Against LEA,Accot i n k Academy,Bal lou Senior High School
Accotink Academy,2012-0021,Against LEA,Accot i n k Academy,Bal lou Senior High School
Accotink Academy,2012-0021,Against LEA,Accotink Academy,Bal lou Senior High School
High Road PG,2012-0026,Against LEA,Accotink Academy,Bal lou Senior High School
Kingsbury Day School,2012-0028,Against LEA,Accotink Academy,Bal lou Senior High School
Monroe School,2012-0029,Against LEA,Accotink Academy,Anacost ia Senior High School
Spingarn Senior High School,2012-0027,Against LEA,Spingarn Senior High School,Spingarn Senior High School
Monroe School,2012-0025,Against LEA,Spingarn Senior High School,Spingarn Senior High School
Monroe School,2012-0025,Against LEA,Macfarland Midd le School,Spingarn Senior High School
Monroe School,2012-0025,Against LEA,Macfar land Midd le School,Spingarn Senior High School
Monroe School,2012-0025,Against LEA,Macfarland M iddle Schoo l,Spingarn Senior High School
Macfar land Middle School,2012-0031,Expedited Discipline,Macfarland M iddle Schoo l,Spingarn Senior High School
Macfar land Middle School,2012-0031,Expedited Discipline,Macfarland MI dd le Schoo I,Spingarn Senior High School
Macfar land Middle School,2012-0031,Expedited Discipline,Macfarland Midd le Schoo I,Spingarn Senior High School
Macfar land Middle School,2012-0031,Expedited Discipline,Macfar land Midd le Schoo I,Spingarn Senior High School
Macfar land Middle School,2012-0031,Expedited Discipline,Macfar land M iddle Schoo I,Spingarn Senior High School
Macfar land Middle School,2012-0031,Expedited Discipline,Johnson MS,Spingarn Senior High School
Johnson MS,2012-0033,Against LEA,Johnson MS,Spingarn Senior High School
Johnson MS,2012-0033,Against LEA,Macfarland Midd le Schoo l,Spingarn Senior High School
Macfar land M iddle School,2012--0031-B,Against LEA,Macfarland Midd le Schoo I,Spingarn Senior High School
Macfar land M iddle School,2012--0031-B,Against LEA,Macfar land Midd le Schoo I,Spingarn Senior High School
Macfar land M iddle School,2012--0031-B,Against LEA,Benjamin Banneker Academic HS,Spingarn Senior High School
Macfar land M iddle School,2012--0031-B,-,Benjamin Banneker Academic HS,Spingarn Senior High School
Macfar land M iddle School,2012--0031-B,-,Benjamin Banneker Academic HS,-
Macfar land M iddle School,2012--0031-B,-,Benjamin Banneker Academic HS,• ~ - - • • I -
Be n1am1n Ba nne er Ac ad e m1c HS,2012-0030,Ag a1nst LEA,Benjam in Banneker Academ ic HS,• ~ - - • • I -
Be n1am1n Ba nne er Ac ad e m1c HS,2012-0030,Ag a1nst LEA,Benjam in Banneker Academ ic HS,HS
Be n1am1n Ba nne er Ac ad e m1c HS,2012-0030,Ag a1nst LEA,Benjamin Banneker Academ ic HS,HS
Be n1am1n Ba nne er Ac ad e m1c HS,2012-0030,Ag a1nst LEA,Sousa M iddle School,HS
Sousa M iddle School,2012-0034,Against LEA,Sousa M iddle School,Sousa M iddle School
Sousa M iddle School,2012-0034,Against LEA,Sousa Midd le School,Sousa M iddle School
High Road DC A-M,2012-0032,Against LEA,High Road DC A-M,Sousa M iddle School
High Road DC A-M,2012-0032,Against LEA,Simon Element ary School,Sousa M iddle School
High Road DC A-M,2012-0032,Against LEA,Simon Eleme ntary School,Sousa M iddle School
Simon Elementary School,2012-0040,Against LEA,Simon Eleme nta ry School,Sousa M iddle School
Simon Elementary School,2012-0040,Against LEA,Simon EIe me n ta ry School,Sousa M iddle School
Simon Elementary School,2012-0040,Against LEA,Simon Elementary,Sousa M iddle School
Simon Elementary School,2012-0040,Against LEA,Accot ink Academy,Sousa M iddle School
Accotink Academy,2012-0036,Against LEA,Accot ink Academy,Sousa M iddle School
Accotink Academy,2012-0036,Against LEA,Accotink Academy,Sousa M iddle School
New Beginnings Vocat iona l School,2012-0039,Against LEA,Accotink Academy,Sousa M iddle School
New Beginnings Vocat iona l School,2012-0039,Against LEA,Kelly Mi ller MS,Sousa M iddle School
Roosevelt High School,2012-0037,Against LEA,Kelly Mi ller MS,Sousa M iddle School
